-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     332.733us         0.14%     332.733us       1.981us           168  
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us     314.200us         0.13%     314.200us       1.870us           168  
                                     triton_poi_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us     237.564us         0.10%     237.564us       1.485us           160  
                                            aten::copy_         0.76%       1.672ms         1.64%       3.622ms      22.639us     235.799us         0.10%     235.799us       1.474us           160  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     212.125us         0.09%     212.125us       1.326us           160  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     206.780us         0.09%     206.780us      25.848us             8  
                                     triton_per_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     191.929us         0.08%     191.929us       1.200us           160  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     145.501us         0.06%     145.501us       0.909us           160  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     138.588us         0.06%     138.588us       2.165us            64  
                                       vllm::all_gather         0.39%     866.576us         0.64%       1.402ms     175.285us      89.280us         0.04%      89.280us      11.160us             8  
                                           aten::argmax         0.13%     277.053us         0.21%     468.984us      58.623us      79.806us         0.03%      79.806us       9.976us             8  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      71.294us         0.03%      71.294us       8.912us             8  
       triton_red_fused_fused_add_rms_norm_machete_mm_0         0.00%       0.000us         0.00%       0.000us       0.000us      65.087us         0.03%      65.087us       2.712us            24  
triton_red_fused_mm_rms_norm_slice_split_with_sizes_...         0.00%       0.000us         0.00%       0.000us       0.000us      50.975us         0.02%      50.975us       6.372us             8  
                            triton_red_fused_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      48.831us         0.02%      48.831us       6.104us             8  
                                triton_red_fused_mm_t_3         0.00%       0.000us         0.00%       0.000us       0.000us      44.062us         0.02%      44.062us       2.754us            16  
                                            aten::index         0.21%     456.888us         0.54%       1.182ms      73.847us      41.152us         0.02%      52.064us       3.254us            16  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      38.144us         0.02%      38.144us       2.384us            16  
           triton_poi_fused_machete_mm_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      33.920us         0.01%      33.920us       1.413us            24  
triton_red_fused_fused_add_rms_norm_slice_split_with...         0.00%       0.000us         0.00%       0.000us       0.000us      31.103us         0.01%      31.103us       3.888us             8  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.624us         0.01%      26.624us       3.328us             8  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.822us         0.01%      25.822us       0.807us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      25.375us         0.01%      25.375us       3.172us             8  
                                     triton_red_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us      24.032us         0.01%      24.032us       3.004us             8  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      22.528us         0.01%      22.528us       2.816us             8  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us      22.111us         0.01%      22.111us       2.764us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.415us         0.01%      20.415us       1.276us            16  
                                              aten::add         0.12%     272.351us         0.20%     438.620us      18.276us      18.848us         0.01%      18.848us       0.785us            24  
void deep_gemm::sched::smxx_paged_mqa_logits_metadat...         0.00%       0.000us         0.00%       0.000us       0.000us      18.720us         0.01%      18.720us       2.340us             8  
                                triton_red_fused_mm_t_2         0.00%       0.000us         0.00%       0.000us       0.000us      17.759us         0.01%      17.759us       2.220us             8  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      16.128us         0.01%      16.128us       2.016us             8  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.528us         0.01%      14.528us       1.816us             8  
                                              aten::sub         0.15%     337.562us         0.26%     579.319us      24.138us      13.472us         0.01%      13.472us       0.561us            24  
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.00%       0.000us         0.00%       0.000us       0.000us      12.320us         0.01%      12.320us       1.540us             8  
                                            aten::fill_         0.18%     402.711us         0.32%     701.106us       9.738us      12.224us         0.01%      12.224us       0.170us            72  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us      11.040us         0.00%      11.040us       1.380us             8  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.944us         0.00%      10.944us       1.368us             8  
                                        cudaGraphLaunch        15.42%      34.001ms        15.69%      34.611ms       4.326ms      10.912us         0.00%      10.912us       1.364us             8  
      triton_poi_fused_add_cat_fused_add_rms_norm_mul_2         0.00%       0.000us         0.00%       0.000us       0.000us      10.080us         0.00%      10.080us       1.260us             8  
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us       9.888us         0.00%       9.888us       1.236us             8  
                                     triton_per_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       9.856us         0.00%       9.856us       1.232us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.471us         0.00%       9.471us       1.184us             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.904us         0.00%       7.904us       0.988us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.136us         0.00%       7.136us       0.892us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.336us         0.00%       6.336us       0.792us             8  
                                  cudaStreamIsCapturing         0.07%     146.173us         0.07%     146.173us       1.142us       3.328us         0.00%       3.328us       0.026us           128  
