2026/07/31 04:00:31.093, 0, 97871, 89660, 7621, 0
2026/07/31 04:00:31.099, 1, 97871, 89665, 7616, 0
2026/07/31 04:00:31.101, 2, 97871, 89664, 7617, 0
2026/07/31 04:00:31.102, 3, 97871, 89664, 7617, 0
2026/07/31 04:00:33.104, 0, 97871, 89660, 7621, 0
2026/07/31 04:00:33.104, 1, 97871, 89665, 7616, 0
2026/07/31 04:00:33.104, 2, 97871, 89664, 7617, 0
2026/07/31 04:00:33.104, 3, 97871, 89664, 7617, 0
2026/07/31 04:00:35.104, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:35.104, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:35.105, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:35.105, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:37.105, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:37.105, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:37.105, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:37.105, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:39.105, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:39.106, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:39.106, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:39.106, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:41.106, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:41.106, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:41.106, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:41.106, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:43.106, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:43.107, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:43.107, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:43.107, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:45.107, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:45.108, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:45.108, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:45.108, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:47.108, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:47.108, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:47.108, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:47.108, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:49.109, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:49.109, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:49.109, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:49.109, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:51.109, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:51.109, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:51.109, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:51.109, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:53.109, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:53.110, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:53.110, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:53.110, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:55.110, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:55.110, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:55.110, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:55.110, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:57.110, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:57.110, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:57.110, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:57.110, 3, 97871, 89684, 7597, 0
2026/07/31 04:00:59.111, 0, 97871, 89680, 7601, 0
2026/07/31 04:00:59.111, 1, 97871, 89685, 7596, 0
2026/07/31 04:00:59.111, 2, 97871, 89684, 7597, 0
2026/07/31 04:00:59.111, 3, 97871, 89684, 7597, 0
