role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Target routed W4 MoE,marlin_moe_wna16::Marlin,396x1x1,128x1x1,300.0,42443.365437500004,41637.20575,43717.43425,141.47788479166667,117.821,255.291,368.025,0
TP custom all-reduce,vLLM custom all-reduce,24x1x1,512x1x1,160.0,8997.6124375,8457.3375,9544.424,56.235077734375,6.72,192.381,376.442,5
Target W4 Machete,Machete GEMM,1x132x1,384x1x1,312.0,3645.3555,3611.85775,3673.6665000000003,11.683831730769231,12.96,16.959,17.728,0
Routed MoE support,vllm::act_and_mul_kernel,128x1x1,256x1x1,150.0,3118.5608125,2959.2445,3282.8295,20.790405416666665,11.84,39.583,107.166,12
Routed MoE support,vllm::moe::moe_sum_vec_kernel,48x1x1,256x1x1,150.0,2314.0983125000002,2201.24175,2461.26775,15.427322083333333,5.952,37.279,51.903,5
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x16x8,384x1x1,79.0,1990.01275,1973.3622500000001,2006.607,25.190034810126583,25.215,25.6,25.888,0
DCP query all-gather,NCCL AllGather,24x1x1,512x1x1,79.0,1104.626,1011.513,1212.98575,13.98260759493671,13.088,17.088,19.36,0
DSA full-context scan,deep_gemm::sm90_fp8_paged_mqa_logits,132x1x1,640x1x1,24.0,1056.736875,1053.56575,1058.65225,44.030703125,45.887,48.608,50.495,0
Target QKV-A W4,marlin::Marlin,132x1x1,128x1x1,78.0,914.31275,906.175,921.17525,11.721958333333333,11.68,12.095,12.704,0
DCP reduce-scatter,NCCL ReduceScatter,24x1x1,512x1x1,79.0,816.7255625,806.58425,830.1465,10.338298259493671,10.208,11.616,12.832,0
DCP LSE all-gather,NCCL AllGather,1x1x1,512x1x1,79.0,614.9556875000001,597.60625,624.92825,7.78424920886076,7.584,8.992,10.271,0
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x16x8,256x1x1,79.0,611.1708125,604.75125,616.92625,7.736339398734177,7.744,8.096,8.384,12
MTP FP8 block,deep_gemm::fp8_gemm_kernel_swapAB,132x1x1,384x1x1,24.0,531.6806875,487.264,555.845,22.153361979166668,10.304,62.623,147.902,0
Routed MoE support,vllm::moe::moe_align_block_size_kernel,2x1x1,1024x1x1,150.0,507.82156249999997,501.3195,513.813,3.3854770833333334,3.392,3.52,3.648,1
DSA top-k,vllm::cooperative::cooperative_topk_cs4,16x4x1,1024x1x1,22.0,451.03375,446.031,457.67225,20.50153409090909,20.415,21.44,22.207,0
Elementwise and metadata,at::native::vectorized_elementwise_kernel,1x1x1,128x1x1,348.0,444.02875,442.37625,448.3855,1.275944683908046,1.216,1.728,1.92,0
Vocabulary GEMM,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT,2x66x1,384x1x1,3.0,425.3184375,414.66525,430.44025,141.7728125,140.221,147.933,148.317,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_1x2_h_bz_NNT,2x64x1,384x1x1,79.0,365.32775,363.42474999999996,367.4405,4.624401898734177,4.608,4.736,4.96,0
Routed MoE support,vllm::moe::count_and_sort_expert_tokens_kernel,1x1x1,256x1x1,150.0,357.17224999999996,354.64925,361.76275,2.3811483333333334,2.4,2.624,2.784,0
