role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Target routed W4 MoE,marlin_moe_wna16::Marlin,396x1x1,128x1x1,300.0,36536.781625,35787.382,37324.6315,121.78927208333333,100.478,221.884,328.826,0
TP custom all-reduce,vLLM custom all-reduce,18x1x1,512x1x1,160.0,8438.3790625,8016.131,8759.988,52.739869140625,6.176,175.772,350.297,3
Target W4 Machete,Machete GEMM,1x132x1,384x1x1,312.0,3662.9130625000003,3633.6615,3699.98525,11.740105969551282,13.088,17.247,17.888,0
Routed MoE support,vllm::act_and_mul_kernel,96x1x1,256x1x1,150.0,2551.605,2537.93725,2569.211,17.0107,9.44,32.608,88.99,9
Routed MoE support,vllm::moe::moe_sum_vec_kernel,36x1x1,256x1x1,150.0,2194.217875,2080.78775,2306.7315,14.628119166666666,5.952,34.976,51.007,3
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x12x11,384x1x1,79.0,1726.6013125,1721.95525,1732.1175,21.855712816455696,21.856,22.176,22.495,0
DCP query all-gather,NCCL AllGather,24x1x1,512x1x1,79.0,1026.725625,924.742,1172.982,12.996526898734178,12.063,16.351,18.848,0
Target QKV-A W4,marlin::Marlin,132x1x1,128x1x1,78.0,915.571875,912.81575,920.93575,11.73810096153846,11.712,12.032,12.607,0
DCP reduce-scatter,NCCL ReduceScatter,24x1x1,512x1x1,79.0,710.447625,700.574,718.88375,8.993007911392406,8.96,10.112,10.975,0
DSA full-context scan,deep_gemm::sm90_fp8_paged_mqa_logits,132x1x1,640x1x1,23.0,637.209375,628.276,658.6135,27.70475543478261,27.68,29.407,29.951,0
DCP LSE all-gather,NCCL AllGather,1x1x1,256x1x1,79.0,605.8149375,587.0045,614.0135,7.6685435126582275,7.456,8.8,9.984,0
TP custom all-reduce,vLLM custom all-reduce,6x1x1,512x1x1,3.0,593.339375,199.645,1093.084,197.77979166666665,217.692,372.089,560.982,1
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x12x8,256x1x1,79.0,592.191,587.859,594.6065,7.4960886075949364,7.488,7.84,8.064,9
Routed MoE support,vllm::moe::moe_align_block_size_kernel,2x1x1,1024x1x1,150.0,506.271625,504.55325,509.641,3.375144166666667,3.36,3.52,3.648,1
