role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_marlin_gemm_2,8x1x1,512x1x1,43.0,124.9298125,2.624,166.381,2.905344476744186,2.88,3.04,3.2,2
Elementwise and metadata,memcpy32_post,96x1x1,256x1x1,77.0,117.014,116.478,117.941,1.5196623376623377,1.472,1.984,2.176,9
Elementwise and metadata,at::native::vectorized_elementwise_kernel,48x1x1,128x1x1,75.0,108.8035,108.101,109.99025,1.4507133333333333,1.216,2.016,2.304,2
Elementwise and metadata,triton_poi_fused_mul_silu_slice_0,8x1x1,256x1x1,76.0,104.9620625,103.00625,106.278,1.3810797697368422,1.344,1.504,2.144,1
Elementwise and metadata,at::native::vectorized_elementwise_kernel,16x1x1,128x1x1,101.0,88.3999375,87.26225,89.53375,0.8752469059405941,0.864,0.928,1.088,1
Elementwise and metadata,memcpy32_post,2x1x1,256x1x1,79.0,78.2204375,70.734,82.32725,0.9901321202531645,0.992,1.056,1.151,0
Elementwise and metadata,triton_poi_fused_add_mul_1,192x1x1,128x1x1,42.25,53.5106875,0.0,72.102,1.266525147928994,1.248,1.344,1.472,9
Attention/index support,_fused_indexer_q_rope_quant_kernel,8x32x1,32x1x1,22.0,49.448750000000004,48.54225,50.479,2.2476704545454544,2.271,2.336,2.496,3
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,8x1x1,1024x1x1,14.5,45.931,0.0,180.444,3.1676551724137934,3.168,3.328,3.488,3
Vocabulary all-gather,NCCL AllGather,24x1x1,512x1x1,2.0,45.197125,38.82325,51.48725,22.5985625,23.04,28.479,29.151,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,128x1x1,256x1x1,28.25,39.915125,0.0,82.39,1.412924778761062,1.408,1.504,1.632,12
DCP/index metadata,_pack_dcp_topk_candidates_triton_kernel,8x4x1,256x1x1,22.0,38.787375,36.399499999999996,40.6475,1.7630625,1.728,1.984,2.176,3
Attention/index support,vllm::indexer_k_quant_and_cache_kernel,8x1x1,32x4x1,22.0,37.173249999999996,34.079,40.57525,1.6896931818181817,1.792,1.952,2.144,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_marlin_gemm_2,8x1x1,256x1x1,14.0,36.9431875,0.0,147.77275,2.6387991071428574,2.624,2.752,2.88,1
Elementwise and metadata,triton_poi_fused_3,2x1x1,128x1x1,28.25,35.8695,0.0,71.879,1.269716814159292,1.28,1.312,1.44,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT,4x24x1,384x1x1,10.25,35.757375,3.536,66.423,3.4885243902439025,3.456,3.68,4.032,0
Elementwise and metadata,triton_red_fused_4,8x1x1,256x1x1,14.25,33.4175,0.0,133.67,2.3450877192982453,2.336,2.464,2.56,1
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT,4x12x1,384x1x1,9.0,33.357124999999996,0.0,67.39,3.7063472222222225,3.68,4.064,4.224,0
Elementwise and metadata,triton_per_fused_mm_t_3,10x1x1,256x1x1,14.0,31.713375,0.0,44.3425,2.2652410714285716,2.272,2.368,2.496,1
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,8x1x1,512x1x1,10.0,29.2695625,0.0,58.82325,2.92695625,2.912,3.072,3.2,2
Elementwise and metadata,triton_poi_fused_add_mul_1,96x1x1,128x1x1,23.5,27.419249999999998,0.0,87.341,1.166776595744681,1.152,1.248,1.472,5
MTP BF16 projection,triton_tem_fused_mm_t_3,192x1x1,64x1x1,0.5,26.1115,0.0,52.239000000000004,52.223,52.351,53.343,53.343,5
MTP BF16 projection,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_splitK_TNT,2x64x1,384x1x1,0.5,25.6295,0.0,51.591,51.259,51.263,51.903,51.903,0
Elementwise and metadata,triton_red_fused_6,16x1x1,512x1x1,14.5,23.9315,0.0,33.4075,1.6504482758620689,1.632,1.76,1.952,3
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,4x1x1,512x1x1,5.0,22.01575,0.0,88.063,4.40315,4.416,4.544,4.672,1
Elementwise and metadata,triton_poi_fused_5,4x1x1,128x1x1,14.5,20.871875,2.84,27.51975,1.4394396551724138,1.44,1.536,1.664,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,128x1x1,128x1x1,14.25,20.561625,0.0,80.8785,1.442921052631579,1.44,1.536,1.696,6
Elementwise and metadata,triton_red_fused_6,2x1x1,128x1x1,3.75,20.1714375,0.0,80.68575,5.37905,5.344,5.664,5.792,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,256x1x1,64x1x1,14.25,19.7334375,0.0,78.93375,1.3848026315789472,1.376,1.44,1.504,6
Elementwise and metadata,triton_poi_fused_3,4x1x1,128x1x1,14.75,18.977625000000003,0.0,73.38250000000001,1.2866186440677967,1.28,1.312,1.44,0
Elementwise and metadata,triton_poi_fused_3,2x1x1,256x1x1,14.0,17.0816875,0.0,68.32675,1.2201205357142857,1.216,1.28,1.408,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,1x1x1,128x1x1,1.0,16.719875000000002,16.47975,16.944000000000003,16.719875000000002,16.704,17.152,17.248,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,256x1x1,128x1x1,9.75,13.7298125,0.0,27.736,1.4081858974358974,1.407,1.504,1.696,12
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,128x1x1,128x1x1,9.5,13.26575,0.0,28.35125,1.3963947368421052,1.376,1.504,1.824,6
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,8x1x1,64x1x1,9.0,12.5556875,0.0,25.34275,1.3950763888888889,1.408,1.472,1.568,0
Explicit copies,Memcpy HtoD ,,,7.0,12.531812500000001,11.624,13.064,1.7902589285714285,2.016,2.656,3.136,
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,8x1x1,1024x1x1,5.0,12.2939375,0.0,49.17575,2.4587875,2.464,2.56,2.688,3
MTP FP8 block,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,1056x1x1,256x1x1,6.0,11.78575,11.664,11.93575,1.9642916666666668,1.792,2.56,2.944,100
Elementwise and metadata,triton_tem_fused_mm_t_6,128x1x1,64x1x1,1.5,11.727562500000001,7.703749999999999,15.807500000000001,7.818375,7.808,8.063,8.447,3
Attention/index support,smxx::decode::get_mla_metadata_kernel,1x1x1,32x1x1,2.0,8.8739375,8.848,8.904,4.43696875,4.448,4.512,4.544,0
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,1x1x1,32x1x1,5.0,8.764,0.0,35.056,1.7528,1.728,1.92,2.112,0
Elementwise and metadata,at::native::index_elementwise_kernel,1x1x1,128x1x1,5.0,8.753875,8.10375,9.352,1.750775,1.696,2.08,2.784,0
Elementwise and metadata,at::native::reduce_kernel,4x19x1,128x4x1,1.0,8.2679375,8.096,8.56775,8.2679375,8.256,8.64,8.768,14
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel,8x1x1,256x1x1,1.0,8.1238125,6.84,9.47925,8.1238125,8.16,9.728,11.391,1
MTP FP8 block,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,132x1x1,256x1x1,2.0,7.7739375,7.272,8.112,3.88696875,3.904,4.16,5.024,13
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_machete_mm_0,8x1x1,512x1x1,2.25,7.307812500000001,0.0,10.3275,3.247916666666667,3.264,3.552,3.616,2
Elementwise and metadata,triton_poi_fused_add_mul_1,384x1x1,128x1x1,5.0,6.431875000000001,0.0,24.1915,1.286375,1.248,1.408,1.664,18
Elementwise and metadata,triton_poi_fused_5,16x1x1,128x1x1,4.5,6.2858125,0.0,25.14325,1.3968472222222221,1.408,1.472,1.568,1
Elementwise and metadata,triton_per_fused_mm_t_3,160x1x1,64x1x1,4.5,6.211875,0.0,24.8475,1.3804166666666666,1.376,1.44,1.504,4
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,8x1x1,32x1x1,4.5,5.914,0.0,23.656,1.3142222222222222,1.312,1.44,1.568,0
Elementwise and metadata,triton_poi_fused_add_mul_1,48x1x1,128x1x1,5.0,5.8939375,0.0,22.44775,1.1787875,1.184,1.28,1.376,2
