2026/07/26 21:53:55.816, 0, 97871, 90014, 7267, 0
2026/07/26 21:53:55.823, 1, 97871, 90025, 7256, 0
2026/07/26 21:53:55.825, 2, 97871, 90017, 7264, 0
2026/07/26 21:53:55.826, 3, 97871, 90020, 7260, 0
2026/07/26 21:53:57.828, 0, 97871, 90014, 7267, 0
2026/07/26 21:53:57.828, 1, 97871, 90025, 7256, 0
2026/07/26 21:53:57.828, 2, 97871, 90017, 7264, 0
2026/07/26 21:53:57.828, 3, 97871, 90020, 7260, 0
2026/07/26 21:53:59.829, 0, 97871, 90014, 7267, 0
2026/07/26 21:53:59.829, 1, 97871, 90025, 7256, 0
2026/07/26 21:53:59.829, 2, 97871, 90017, 7264, 0
2026/07/26 21:53:59.829, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:01.829, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:01.829, 1, 97871, 90025, 7256, 0
2026/07/26 21:54:01.829, 2, 97871, 90017, 7264, 0
2026/07/26 21:54:01.829, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:03.829, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:03.829, 1, 97871, 90025, 7256, 0
2026/07/26 21:54:03.829, 2, 97871, 90017, 7264, 0
2026/07/26 21:54:03.830, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:05.830, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:05.830, 1, 97871, 90025, 7256, 0
2026/07/26 21:54:05.830, 2, 97871, 90017, 7264, 0
2026/07/26 21:54:05.830, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:07.830, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:07.830, 1, 97871, 90025, 7256, 0
2026/07/26 21:54:07.830, 2, 97871, 90017, 7264, 0
2026/07/26 21:54:07.830, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:09.830, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:09.831, 1, 97871, 90025, 7256, 0
2026/07/26 21:54:09.831, 2, 97871, 90017, 7264, 0
2026/07/26 21:54:09.831, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:11.831, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:11.831, 1, 97871, 90025, 7256, 0
2026/07/26 21:54:11.831, 2, 97871, 90017, 7264, 0
2026/07/26 21:54:11.831, 3, 97871, 90020, 7260, 0
2026/07/26 21:54:13.831, 0, 97871, 90014, 7267, 0
2026/07/26 21:54:13.831, 1, 97871, 90025, 7256, 0
