rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
1,32,836294,0.39665165358872007,1.5866066143548803,1,0.13100895139747504,22.15491547914653,0.6990233473515295,0.6741971124987145,5,17
2,18,773019,0.3666405170974547,1.4665620683898188,5,0.1414402492047414,20.939813526774955,0.6972741573945789,0.7069037112929955,4,17
3,5,718381,0.3407258829511133,1.3629035318044531,5,0.14139850580680724,26.133933963124836,0.559653342898824,0.6022430994138208,4,31
4,72,703996,0.3339031220119295,1.335612488047718,3,0.1449809373916897,22.4079243337381,0.6767436356172478,0.6850479264086727,4,19
5,69,681063,0.3230260711521241,1.2921042846084965,2,0.15180827618003034,22.038408155602927,0.6819864452701145,0.6699923501937413,4,19
6,20,679075,0.3220831689104072,1.288332675641629,3,0.1435850237455362,25.044752654380396,0.6574609993373339,0.6414357766078858,5,22
7,63,674231,0.31978567471580127,1.279142698863205,0,0.1847200736839451,23.678035724315084,0.6584941538953266,0.6253094265911832,4,21
8,21,632557,0.300019825610515,1.20007930244206,2,0.16245650589591135,24.002662496847325,0.6488656111227922,0.6210697217800135,4,22
9,4,625356,0.29660441361725376,1.186417654469015,2,0.1636076091058533,28.01757521681702,0.522064631985621,0.5483596543408874,5,33
10,13,616953,0.29261889674746155,1.1704755869898462,1,0.15987927767593318,28.236982684876935,0.5184157818747943,0.5544458005715185,5,34
11,26,613971,0.29120454338488627,1.164818173539545,1,0.16665933733026478,25.69594982039566,0.5959106018443867,0.5914122979749857,4,27
12,44,603212,0.28610158301334104,1.1444063320533642,3,0.16103293701053692,24.802758260978152,0.6347324821124247,0.6103426324409992,4,24
13,12,601795,0.2854295043028215,1.141718017211286,7,0.16497312207645462,26.07342794730297,0.5861400840402462,0.5780257396621774,4,27
14,37,599770,0.28446905307572057,1.1378762123028823,5,0.16264734815012422,24.248917241651768,0.6418592752221686,0.6217583406972673,4,23
15,50,596766,0.2830442651812953,1.132177060725181,3,0.15857639342723948,31.336061157317307,0.5788116175351814,0.5055130486656412,8,25
16,65,589301,0.27950363880583423,1.118014555223337,6,0.17497509761564972,23.442170023107114,0.6453133405085008,0.626323389914492,3,23
17,22,585144,0.27753198658308925,1.110127946332357,4,0.16632999740234883,23.389573747896,0.6511149926342916,0.6320785994558604,4,22
18,40,574988,0.27271502724361407,1.0908601089744563,4,0.1801950649404857,22.43380530293563,0.6476657991123294,0.6214581869534668,3,23
19,54,565553,0.2682400359706771,1.0729601438827083,5,0.2045679184797888,24.71589009486186,0.6460755280672192,0.5966125190742513,5,23
20,73,545185,0.2585795566651995,1.034318226660798,3,0.19055549950934086,26.774272477260972,0.6038805348184562,0.5727670423801094,5,26
21,8,535494,0.2539831453852809,1.0159325815411235,7,0.2006259640630894,31.012798086420744,0.463833278244014,0.478662692765932,10,36
22,42,534417,0.2534723276215338,1.0138893104861353,0,0.17971920803417557,29.512672729195923,0.567564601940058,0.5165198711867325,8,28
23,76,532574,0.2525981984306464,1.0103927937225856,0,0.18168554980152993,29.3178676041719,0.5720625795664076,0.5350486505161725,7,28
24,31,531658,0.2521637424681652,1.0086549698726608,5,0.18551775765623765,28.576182876396278,0.5832026297920845,0.5355566924601906,7,27
25,66,531637,0.2521537822332175,1.00861512893287,2,0.18905192828941553,26.16272136880745,0.6361380333291324,0.5697741127874847,6,23
26,35,531604,0.2521381304354425,1.00855252174177,1,0.18828676985124265,29.636015165150454,0.5482157536436896,0.5106263308778715,8,30
27,7,529851,0.25130668796575956,1.0052267518630382,4,0.18769427631541696,32.51115853511763,0.44764450878643247,0.46964146524211525,11,37
28,6,529474,0.251127878033603,1.004511512134412,6,0.1894332866203062,31.733211122927187,0.4584499781858977,0.47658053086648255,10,37
29,53,527916,0.2503889234598631,1.0015556938394523,5,0.19628501504027157,25.763831220023025,0.6256948903802877,0.587457095447003,6,24
30,10,523423,0.24825790747795468,0.9930316299118187,5,0.1898311690544741,30.40492714968464,0.5066359748711844,0.5154569057913007,8,34
31,47,522550,0.24784384628227116,0.9913753851290846,5,0.18777533250406658,26.903860938752654,0.6144311549134054,0.5675169840206679,6,25
32,15,518240,0.24579962663347854,0.9831985065339142,5,0.18680148193887003,29.83002228032905,0.54172035398657,0.5271939641864773,7,31
33,43,517736,0.2455605809947334,0.9822423239789336,7,0.19115726934190397,28.493076398110304,0.5724020664006366,0.5321689046154797,7,28
34,59,516794,0.24511379331279312,0.9804551732511725,6,0.20146131727535535,24.31157263324073,0.6490159763851748,0.610881705282956,5,23
35,45,515478,0.24448961858940307,0.9779584743576123,4,0.1898548531654115,27.9518123217564,0.5837128960886788,0.5412743123857856,6,27
36,27,513066,0.24334561446112282,0.9733824578444913,1,0.19239045269029714,29.835203375901266,0.525138456845708,0.5190111993388764,7,32
37,34,509771,0.24178280616813635,0.9671312246725454,5,0.19663339028701124,28.111152321359338,0.5639369503659486,0.5385790874726103,6,29
38,55,508964,0.2414000485680028,0.9656001942720112,0,0.19068735706258202,26.95818454380297,0.6054941999827099,0.565242335410756,6,26
39,24,507307,0.24061413860093797,0.9624565544037519,6,0.20014310861076232,29.80399733350796,0.49866910593585345,0.5038113016378643,8,34
40,64,506161,0.24007059435093417,0.9602823774037367,3,0.19557611115830734,28.715841232019674,0.6087145752537235,0.5678608189884246,6,25
