layer,rank_0_route_share,rank_1_route_share,rank_2_route_share,rank_3_route_share,critical_rank,maximum_rank_route_share,minimum_rank_route_share,rank_share_spread
48,0.22699899262436082,0.2007564153922285,0.33848557862242856,0.23375901336098215,2,0.33848557862242856,0.2007564153922285,0.13772916323020007
45,0.21959684355633055,0.2209525296321606,0.318005955887551,0.24144467092395785,2,0.318005955887551,0.21959684355633055,0.09840911233122043
18,0.3076472182293753,0.22405418620543394,0.24442335108513796,0.22387524448005278,0,0.3076472182293753,0.22387524448005278,0.08377197374932252
55,0.24463837570987582,0.30563025779390623,0.21308351202959683,0.23664785446662112,1,0.30563025779390623,0.21308351202959683,0.09254674576430941
64,0.22617129509626033,0.2230306100808257,0.2471413507081085,0.3036567441148055,3,0.3036567441148055,0.2230306100808257,0.08062613403397978
50,0.243860752409454,0.24057499941089144,0.21426025638004573,0.3013039917996088,3,0.3013039917996088,0.21426025638004573,0.08704373541956309
46,0.2996132502297523,0.2530184449890426,0.20316218747790843,0.24420611730329664,0,0.2996132502297523,0.20316218747790843,0.0964510627518439
70,0.24629818908028372,0.24405368546315714,0.29705210076112826,0.21259602469543087,2,0.29705210076112826,0.21259602469543087,0.08445607606569738
19,0.2235630169427622,0.2578587082027476,0.22286345052666306,0.29571482432782714,3,0.29571482432782714,0.22286345052666306,0.07285137380116408
57,0.22444299785564484,0.2939563352734642,0.21300398237387186,0.2685966844970191,1,0.2939563352734642,0.21300398237387186,0.08095235289959235
58,0.2936198070080354,0.22136785116761318,0.237482179466032,0.2475301623583194,0,0.2936198070080354,0.22136785116761318,0.07225195584042224
20,0.2385013372764333,0.21189130357942362,0.25676517543652944,0.2928421837076136,3,0.2928421837076136,0.21189130357942362,0.08095088012818999
61,0.25502141409618967,0.21114608124985274,0.2894084171831185,0.24442408747083913,2,0.2894084171831185,0.21114608124985274,0.07826233593326576
63,0.234546209675519,0.2365639064966892,0.2396147524565827,0.2892751313712091,3,0.2892751313712091,0.234546209675519,0.054728921695690075
74,0.2884732073426491,0.2622946956665174,0.21994809953578245,0.22928399745505101,0,0.2884732073426491,0.21994809953578245,0.06852510780686663
59,0.28788557155312583,0.247992612578646,0.2217080613615477,0.24241375450668048,0,0.28788557155312583,0.2217080613615477,0.06617751019157814
44,0.2571392593727172,0.28674270094493015,0.2191402844216132,0.23697775526073944,1,0.28674270094493015,0.2191402844216132,0.06760241652331694
27,0.23516330089308857,0.23855951174682472,0.28660867874731955,0.23966850861276717,2,0.28660867874731955,0.23516330089308857,0.05144537785423098
38,0.28524489242877676,0.2525110752409454,0.26632861653745554,0.1959154157928223,0,0.28524489242877676,0.1959154157928223,0.08932947663595447
21,0.24209637226948183,0.2153361158894361,0.2839805181798902,0.25858699366119187,2,0.2839805181798902,0.2153361158894361,0.06864440229045407
