rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
1,25,912295,0.43269869245829984,1.7307947698331994,5,0.1158309538033202,22.77591332453719,0.6622391708548221,0.7099512767251821,5,19
2,38,830670,0.39398420781034194,1.5759368312413677,6,0.13590475158606907,22.780774293846026,0.6590771606052945,0.6693981966364502,4,21
3,49,802942,0.38083290330414193,1.5233316132165677,2,0.12830814679017913,23.56765515216364,0.6638011369438888,0.6673420994293485,5,21
4,68,747131,0.3543619188914353,1.4174476755657412,6,0.16130236866091757,23.081329735037148,0.6631878102702204,0.6566519124490886,4,20
5,23,727153,0.34488641537784387,1.3795456615113755,2,0.14256697008745065,24.84210693370349,0.6249315180230295,0.6244105435857379,4,25
6,61,674412,0.3198715224551125,1.27948608982045,4,0.14401878970125087,26.464130356672896,0.6466893568026666,0.6007603660670332,5,22
7,39,665429,0.31561091338200253,1.2624436535280101,7,0.14621394619110378,23.26720796355632,0.6447327353857437,0.6381296877653364,4,23
8,17,654717,0.3105302449648641,1.2421209798594564,2,0.1526766526606152,28.946660300370592,0.5557686803993176,0.554606035890316,6,30
9,40,642792,0.3048742544052696,1.2194970176210784,5,0.15980908287595366,26.334740998502042,0.6161325319854634,0.5815333731595913,5,25
10,77,638503,0.3028399949914247,1.2113599799656989,1,0.16224669265453726,25.082116003157893,0.6396446306830195,0.6077810127751945,4,22
11,34,633687,0.3005557811100824,1.2022231244403296,3,0.15669723380785783,26.734943924974203,0.6080860158485182,0.5765401531039772,5,26
12,24,628308,0.29800453807276095,1.1920181522910438,0,0.15884088695353235,26.136034578549854,0.6030301818534858,0.5949486557548209,4,27
13,72,626998,0.29738320913078453,1.1895328365231381,7,0.1633450186443976,24.804802593269827,0.6398921427979036,0.616611217260661,4,22
14,14,625413,0.2966314485406833,1.1865257941627332,2,0.1601117981237998,28.430531482962582,0.5263733474919774,0.5471904165727287,5,33
15,41,622219,0.2951165442348263,1.1804661769393052,4,0.17634948466697417,24.174644175924307,0.6388515086729913,0.6159760470188149,4,23
16,13,621475,0.29476366733953585,1.1790546693581434,3,0.1608093648175711,28.01353939637656,0.5247530823846493,0.5530825857838207,5,33
17,6,620555,0.2943273141894456,1.1773092567577823,4,0.16708269210625973,27.221952298235227,0.535155450564414,0.5607657661287073,4,33
18,67,618028,0.29312876591740405,1.1725150636696162,3,0.16025811128298395,23.06821429623414,0.6784731537244266,0.6417443869857029,4,20
19,4,613893,0.29116754822650903,1.1646701929060361,3,0.1627140234535986,27.656276485367616,0.5240918154711001,0.5513534117509078,5,33
20,52,608525,0.2886215224551125,1.15448608982045,6,0.16602440327020254,23.266833895962602,0.6755190059981102,0.6261961299864426,4,19
21,37,594095,0.28177741815532653,1.1271096726213061,2,0.1687962362921755,24.167928336776747,0.6385623563992291,0.6028530790530133,4,23
22,21,573241,0.2718864305553448,1.0875457222213791,7,0.17169567424521276,27.87764170826829,0.5889786919899309,0.5554103771363178,6,27
23,50,572362,0.2714695235782476,1.0858780943129904,1,0.17640584105863072,22.115937680838986,0.6775300203367798,0.6398101201687044,3,20
24,60,563489,0.2672610871643875,1.06904434865755,7,0.17602650628494967,25.9247071442589,0.6447583437742352,0.609889456582116,5,23
25,43,560115,0.2656608094161215,1.062643237664486,3,0.18648670362336306,26.745740419992835,0.6280384106388868,0.5741463806539728,6,24
26,48,553458,0.26250341493769636,1.0500136597507854,1,0.1784182358914317,35.78999486439222,0.5367056420722078,0.47017479194446554,10,28
27,33,549287,0.26052512255831956,1.0421004902332782,0,0.17704952056028997,28.12609284819026,0.6077811155643589,0.5578722962677071,6,25
28,56,547270,0.25956846570643677,1.038273862825747,7,0.1934383393937179,23.37996118974992,0.6765469398103312,0.6290478191751785,4,20
29,32,545099,0.2585387671316041,1.0341550685264165,2,0.18809427278347604,28.865943746402145,0.581708007398656,0.5265428848704548,7,27
30,22,544827,0.2584097583741861,1.0336390334967445,1,0.18013240900322489,30.358660381542173,0.5498960277757894,0.5043472515128655,8,30
31,26,543969,0.25800281163203664,1.0320112465281466,0,0.17741636012346293,29.55550174055822,0.5433391827015879,0.5365746945138418,7,31
32,7,540449,0.256333286536039,1.025333146144156,6,0.18428195814961262,32.821176376487884,0.43603388686999134,0.46593110543270505,11,38
33,3,538639,0.25547480914292653,1.0218992365717061,4,0.1850441575897772,33.176719954332334,0.4289531404614222,0.4625546980445159,11,38
