rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
25,77,351705,0.2589905330254259,1.0359621321017036,120,0.05295346952701838,50.701523633899235,0.367833704738346,0.30278784777014833,17,36
26,9,350482,0.2580899333129109,1.0323597332516437,224,0.03510308660644484,59.79358546815117,0.2014342034683665,0.21942353672941836,24,44
27,44,349191,0.2571392593727172,1.0285570374908688,222,0.07229281396141367,49.44556715901461,0.38877151938337473,0.3381329988459038,15,36
28,24,348544,0.25666281782406863,1.0266512712962745,80,0.06595723925817114,54.02584974163939,0.3022266378133034,0.27098730719794345,20,40
29,40,348423,0.2565737151542286,1.0262948606169144,196,0.056939409855262135,47.625111405518645,0.4219890854650812,0.31636545233810626,15,33
30,49,346473,0.25513776303697244,1.0205510521478898,61,0.07848519220833947,48.661948452004644,0.3967691475959165,0.331373584666049,15,35
31,61,346315,0.25502141409618967,1.0200856563847587,3,0.10052986442978214,42.919058437654265,0.47499165319145864,0.4021310078974344,12,31
32,17,345201,0.25420108042510076,1.016804321700403,31,0.057728685606356876,55.53690834754658,0.2862729341021608,0.2588897482915751,20,40
33,25,345104,0.2541296510120885,1.016518604048354,155,0.03945187537669804,56.88946289856393,0.26667839622258804,0.2393510362093746,22,40
34,34,344436,0.25363774536371564,1.0145509814548626,113,0.050502851037638345,52.29583173930683,0.35195625965346244,0.28053978097527554,18,36
35,62,343618,0.2530353818601692,1.0121415274406769,126,0.08044689160637684,42.82664738771216,0.47744415673800567,0.4093586482663889,12,32
36,72,343512,0.25295732497584655,1.0118292999033862,53,0.11994340809054706,45.267654971380765,0.4234665564812874,0.3482265539486248,15,34
37,56,343466,0.25292345123359333,1.0116938049343733,5,0.11484106141510368,39.77668412888196,0.5084462508661702,0.41314424135140015,12,29
38,32,343450,0.25291166906237483,1.0116466762494993,150,0.12505459309943223,42.732801335597905,0.46450793419711744,0.38355510263502696,13,31
39,53,343145,0.2526870714235219,1.0107482856940877,17,0.06829765842428127,45.26649695226722,0.4417167396435908,0.352938262250652,15,32
40,8,340882,0.2510206305818036,1.0040825223272145,198,0.03156517504591032,59.93625735854872,0.20124256707599697,0.20321988253999917,24,44
41,23,339737,0.25017746895397885,1.0007098758159154,216,0.04021934614127987,55.43854246042456,0.2941475225689283,0.2575992606045264,20,40
42,13,339476,0.24998527228597686,0.9999410891439074,85,0.0396346133452733,58.75290825169222,0.22566985589555677,0.22578326597461967,22,43
43,35,339424,0.2499469802295167,0.9997879209180668,32,0.049967002922598286,50.30657766983411,0.382626431100924,0.30628947864617706,16,35
44,4,337443,0.24848820015552467,0.9939528006220987,27,0.026484472933206497,61.82729564175629,0.14672167780928924,0.1812602424705802,26,46
45,6,335176,0.24681881377100173,0.9872752550840069,191,0.03321836885695873,60.23146652683762,0.19515306883547745,0.20858892044776475,24,44
46,26,334534,0.24634605415085892,0.9853842166034357,233,0.03579606258257755,55.04879073629248,0.3091748521824389,0.2521477637549547,19,38
47,70,334469,0.24629818908028372,0.9851927563211349,94,0.07833610887705587,44.27403843322374,0.45595971711877636,0.3999862468569584,13,33
48,7,333177,0.24534677875438887,0.9813871150175555,226,0.025523970742278128,61.20266625786642,0.16382128530780937,0.1819633408068384,26,45
49,14,332471,0.244826890449372,0.979307561797488,10,0.0343458527209892,58.40459226852966,0.2358591520012272,0.22482562388900085,22,42
50,55,332215,0.24463837570987582,0.9785535028395033,251,0.12006080399741131,40.49953790366283,0.4897343869933628,0.4226570142829192,11,31
51,50,331159,0.243860752409454,0.975443009637816,209,0.06184038483024771,48.247611617668866,0.4052569441718328,0.34145833270422965,15,35
52,21,328763,0.24209637226948183,0.9683854890779273,135,0.12035417610862537,38.86656828687742,0.5123091615388593,0.4496400142351786,11,30
53,76,327397,0.24109046940170134,0.9643618776068054,228,0.04250802542479009,52.6932398400259,0.34542815183095743,0.2750116830636811,18,37
54,60,327072,0.24085114404882532,0.9634045761953013,153,0.06047598082379415,40.782708935224086,0.5178690586476373,0.4045470110556697,11,28
55,30,326611,0.24051167024059195,0.9620466809623678,131,0.11616571395329613,44.32077759151295,0.4458926769918956,0.37713059266221893,14,32
56,12,325175,0.23945422037373046,0.9578168814949218,78,0.04212500961020989,56.48809666558655,0.27946754632121174,0.2402121934343046,21,40
57,20,323881,0.2385013372764333,0.9540053491057332,195,0.14568622426137995,39.74010283520992,0.4976436658062684,0.42945402786826026,11,30
58,36,323623,0.23831134976553478,0.9532453990621391,178,0.05084311065653554,51.546928275407616,0.3609801663509702,0.29723474536729466,17,36
59,11,323056,0.23789381907297877,0.9515752762919151,79,0.028849487395374178,57.3587168708804,0.25067122650562124,0.21135035411817146,22,41
60,31,322960,0.2378231260456677,0.9512925041826708,17,0.04237676492444885,52.333247569388924,0.3516613899554124,0.281870819915779,18,36
61,52,321633,0.23684594222023234,0.9473837688809293,163,0.0865023178591749,44.262919226983364,0.4594968780411215,0.36261515453949067,14,31
62,15,321623,0.23683857836322078,0.9473543134528831,12,0.07556051650534944,54.33165275818164,0.2976580402365503,0.2727479067106519,20,40
63,27,319348,0.23516330089308857,0.9406532035723543,184,0.149031777246139,44.187984038897234,0.39751462354547384,0.3668850282450493,16,37
64,67,318901,0.23483413648467139,0.9393365459386855,220,0.06290980586451594,48.17665419753197,0.4122304512215389,0.34027801731571866,15,34
65,63,318510,0.234546209675519,0.938184838702076,40,0.07680449593419358,44.654843940536026,0.46481958965181636,0.36772785783805845,13,30
66,73,314592,0.23166105049838584,0.9266442019935434,19,0.1109278049028583,44.65666275168938,0.44450311832468725,0.35152197131522733,14,33
67,65,312766,0.23031641020807314,0.9212656408322926,255,0.07883529539655845,46.83887676400198,0.4156568928528037,0.3417315181317663,16,34
68,47,309548,0.2279467210217499,0.9117868840869996,88,0.08509827231964025,48.960672718082606,0.3858863366909171,0.33269799837181957,16,36
69,54,308495,0.22717130687843157,0.9086852275137263,235,0.0645942397769818,48.78236395584301,0.4020932774437187,0.30907145982917067,16,34
70,48,308261,0.22699899262436082,0.9079959704974433,47,0.06543481011221011,49.90610311909804,0.3851776072062312,0.31302370393919443,16,35
71,64,307137,0.22617129509626033,0.9046851803850413,203,0.07457258487254874,43.862555737565565,0.4747262113486814,0.37842070476692813,13,30
72,57,304790,0.22444299785564484,0.8977719914225794,1,0.12515830571869155,39.27409475950181,0.5135188367400505,0.45117621969224714,10,29
73,19,303595,0.2235630169427622,0.8942520677710488,231,0.05032691579242082,52.272324462056226,0.33597015555262777,0.2794907689520578,19,38
74,43,300350,0.2211734453425077,0.8846937813700309,180,0.10563342766772099,44.782534170279895,0.4454921341767937,0.3470917263192942,14,32
75,45,298209,0.21959684355633055,0.8783873742253222,151,0.04425755091227964,51.359594773665194,0.36350392048865054,0.2723257849360683,18,35
