rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
1,18,417780,0.3076472182293753,1.2305888729175012,25,0.19691225046675284,39.71260552542899,0.4359037651395472,0.40464837952989613,13,35
2,46,406870,0.2996132502297523,1.1984530009190093,130,0.08451593875193551,46.86039369150379,0.40370473062649004,0.37672475237790937,14,36
3,58,398731,0.2936198070080354,1.1744792280321417,155,0.11832789524767325,36.64088022597194,0.5478457359096733,0.48370706064991187,9,28
4,74,391742,0.2884732073426491,1.1538928293705963,32,0.18099412368344472,37.537462922406014,0.4959758272025976,0.4380970128298728,11,31
5,59,390944,0.28788557155312583,1.1515422862125033,78,0.13509863305230416,41.26120760049005,0.4779791031452074,0.4223341450437914,11,32
6,38,387358,0.28524489242877676,1.140979569715107,179,0.07039741014771865,49.53468284741076,0.38474034355815556,0.3128785258081671,17,35
7,37,384813,0.2833707908193322,1.1334831632773288,28,0.06422600068085017,50.11803570785121,0.3692397752284875,0.31326124637161423,17,36
8,66,381117,0.28064910926785586,1.1225964370714234,117,0.14014593943592124,40.89383829422605,0.4808877178792863,0.423801614727236,12,32
9,29,376223,0.2770452376463935,1.108180950585574,60,0.06503058026755408,51.87767555253369,0.35672248407194673,0.29961219808464656,17,36
10,71,375205,0.27629559700261563,1.1051823880104625,67,0.06896763102837115,45.08944421613662,0.4566913004224358,0.3833504350954811,13,32
11,39,373937,0.27536185993354856,1.1014474397341942,234,0.07809336866905388,51.3205331551495,0.34999039778090957,0.30209634243201394,18,37
12,28,373931,0.2753574416193416,1.1014297664773665,103,0.034685543589592735,57.333519378230214,0.25522535407601943,0.22826403801770917,22,41
13,16,372684,0.27443916864999884,1.0977566745999954,55,0.1400033272155499,47.22429993221633,0.3577561687649591,0.3383509890416546,17,38
14,75,372660,0.27442149539317107,1.0976859815726843,169,0.1593382708098535,40.82037549084972,0.4711864534696506,0.39671550474963774,13,31
15,41,369792,0.27230954120225276,1.089238164809011,219,0.058481524749048115,51.03510038650847,0.35809438143605044,0.31210247923156803,18,37
16,33,369325,0.2719656490798124,1.0878625963192496,116,0.057052731334190754,51.07817607117591,0.37103326169363027,0.29066269545793,17,36
17,10,364550,0.2684494073567877,1.0737976294271507,217,0.10209299135920999,54.010261737831904,0.26437740021944856,0.2758606501165821,21,43
18,22,363035,0.26733378301953487,1.0693351320781395,87,0.16511355654413487,42.620636963987515,0.4252000065420689,0.3820540719214401,14,35
19,42,358406,0.263925053608879,1.055700214435516,2,0.0667232133390624,46.92449062477833,0.42381806526676447,0.34978488083346826,15,33
20,3,358177,0.2637564212833141,1.0550256851332565,222,0.043581804526812165,60.57416863707936,0.17136024053749965,0.2087152441390709,25,46
21,51,357947,0.26358705257204795,1.0543482102881918,229,0.07971850581231299,44.811973284992334,0.4567081945790856,0.35836590333205753,14,32
22,5,357146,0.2629972076254212,1.051988830501685,211,0.0362512809887273,61.401428202822245,0.15713759218918866,0.19521148213895717,25,46
23,68,353833,0.26055756179748807,1.0422302471899523,141,0.15876698894676303,33.568579094956135,0.575095322157628,0.5165826816605574,8,26
24,69,353625,0.2604043935716474,1.0416175742865896,129,0.09149805585012372,40.51051610214237,0.5056799664192293,0.43194909862142095,11,30
