rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
1,55,415041,0.30563025779390623,1.222521031175625,130,0.10114663370606759,39.856771596425226,0.518150428210707,0.4380579268072311,11,29
2,57,399188,0.2939563352734642,1.1758253410938568,57,0.07224916580658737,42.8326751352929,0.48594193086966553,0.3981131697345611,12,30
3,44,389392,0.28674270094493015,1.1469708037797206,119,0.054086884168139046,47.2389705760886,0.4290815874491516,0.3308054608209722,15,33
4,52,384833,0.2833855185333553,1.1335420741334212,57,0.08213432839699299,42.4881513353725,0.4829432101067217,0.41072621110975405,12,31
5,67,377229,0.2777860416617574,1.1111441666470296,61,0.06854722197922217,41.25006816613852,0.5104259862709388,0.403935010298784,11,28
6,65,375145,0.27625141386054625,1.105005655442185,7,0.07194551440109824,45.169074236463686,0.45324803575950634,0.3738900958296125,14,32
7,31,372137,0.27403636567146594,1.0961454626858638,228,0.04610936294966639,54.84058962516869,0.310352227472678,0.2520174021932783,19,39
8,51,366832,0.270129839526828,1.080519358107312,100,0.07542144632965499,39.48953646528065,0.5241987476556025,0.4551756662450386,10,28
9,76,366571,0.26993764285882604,1.0797505714353042,207,0.04435702769722646,47.77425388966112,0.42621198383123593,0.31316443472069533,15,32
10,30,359250,0.26454656314065556,1.0581862525626222,56,0.043201113430758525,51.32679470037428,0.368401530967293,0.2780320111343076,18,35
11,62,357148,0.2629986803968235,1.051994721587294,108,0.06584385184853338,46.50936809129728,0.43620624363009175,0.3644427520243708,14,33
12,60,357033,0.2629139960411905,1.051655984164762,234,0.06960421025507446,45.96485564093298,0.43745522997874153,0.374844902291945,14,33
13,15,356527,0.26254138487640505,1.0501655395056202,59,0.09295509176023134,49.692806668831366,0.37051291872705283,0.31710922314439016,17,37
14,8,356362,0.26241988123571414,1.0496795249428565,79,0.044752246311335106,59.715778030128185,0.2007202297102384,0.21053591572614364,24,44
15,74,356192,0.2622946956665174,1.0491787826660697,31,0.08412036205192705,49.668343455698746,0.37409923931475153,0.3257568951576678,17,37
