role,category,kernel,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,logical_bytes_per_step,profiler_launch_occupancy_pct,grids,blocks,streams
Sparse MLA support,kernel,vllm::ConcatMLAQKernel,81.0,147.23218749999964,145.3852499999996,148.02912499999962,1.8176813271604895,0.0,0.9753086419753086,"[(2, 1, 1), (8, 1, 1)]","[(256, 1, 1)]",[19]
Sparse MLA support,kernel,_convert_req_index_to_global_index_kernel,81.0,137.59499999999946,136.92824999999945,138.59799999999947,1.698703703703697,0.0,2.950617283950617,"[(1, 16, 1), (4, 16, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_4,57.0,129.95037500000026,128.32137500000022,131.17700000000028,2.2798311403508817,0.0,1,"[(8, 1, 1)]","[(256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_add_mul_1,78.0,100.0170000000002,94.71362500000025,107.83412500000014,1.2822692307692332,0.0,10.948717948717949,"[(96, 1, 1), (192, 1, 1), (384, 1, 1), (768, 1, 1)]","[(32, 1, 1), (64, 1, 1), (128, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,57.0,84.014625,76.94237500000004,88.72262499999991,1.4739407894736842,0.0,14.947368421052632,"[(64, 1, 1), (256, 1, 1)]","[(128, 1, 1), (256, 1, 1)]",[19]
DSA indexer,kernel,triton_tem_fused_mm_t_7,10.5,78.76034374999998,0.0,149.992875,7.500985119047617,0.0,3,"[(128, 1, 1)]","[(64, 1, 1)]",[19]
DSA indexer,kernel,nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT,23.0,78.67843750000006,71.25100000000003,85.21800000000007,3.4208016304347852,0.0,0,"[(4, 12, 1), (4, 16, 1), (4, 24, 1)]","[(384, 1, 1)]",[19]
DSA indexer,kernel,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT,9.75,73.58346875000001,0.0,151.097125,7.5470224358974365,0.0,0,"[(4, 16, 1)]","[(384, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_3,57.0,73.17053124999998,64.62300000000013,80.46250000000006,1.283693530701754,0.0,0,"[(1, 1, 1), (4, 1, 1)]","[(64, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_fused_add_rms_norm_2,21.0,71.30484375,64.58662499999997,74.00300000000003,3.39546875,0.0,1.1904761904761905,"[(1, 1, 1), (4, 1, 1)]","[(128, 1, 1), (512, 1, 1), (1024, 1, 1)]",[19]
Vocabulary output,kernel,ncclDevKernel_AllGather_RING_LL,4.0,67.31962499999999,50.44674999999999,84.58175000000001,16.829906249999997,0.0,0,"[(16, 1, 1), (24, 1, 1)]","[(512, 1, 1)]",[19]
Sparse MLA support,kernel,smxx::decode::get_mla_metadata_kernel,4.0,66.6176875,66.45450000000001,66.79062499999999,16.654421875,0.0,0,"[(1, 1, 1)]","[(32, 1, 1)]",[19]
MTP FP8 block,kernel,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,24.0,58.288906250000004,57.57487500000008,59.423374999999965,2.4287044270833333,0.0,78.25,"[(132, 1, 1), (1056, 1, 1)]","[(256, 1, 1)]","[19, 464]"
Elementwise and metadata,kernel,triton_red_fused_6,20.0,57.88953125000001,33.259125,78.478125,2.8944765625000004,0.0,1,"[(2, 1, 1), (8, 1, 1)]","[(128, 1, 1), (512, 1, 1)]",[19]
DSA indexer,kernel,_fused_indexer_q_rope_quant_kernel,24.0,52.75437500000001,50.666625000000025,55.381874999999994,2.198098958333334,0.0,2,"[(4, 32, 1)]","[(32, 1, 1)]",[19]
Elementwise and metadata,kernel,at::native::reduce_kernel,8.0,49.74928125,49.326875,50.023250000000004,6.21866015625,0.0,3.375,"[(1, 1, 1), (1, 19, 1), (3, 19, 1)]","[(256, 2, 1), (512, 1, 1)]",[19]
DSA indexer,kernel,vllm::indexer_k_quant_and_cache_kernel,24.0,45.06540624999997,43.671624999999985,47.06724999999997,1.8777252604166652,0.0,0,"[(1, 1, 1), (4, 1, 1)]","[(32, 4, 1)]",[19]
Explicit copies,gpu_memcpy,Memcpy HtoD ,24.0,43.30643749999997,41.57549999999996,44.89524999999999,1.8044348958333323,25261.0,,[],[],[19]
Elementwise and metadata,kernel,at::native::unrolled_elementwise_kernel,23.0,36.801312499999995,36.247250000000015,37.306875,1.600057065217391,0.0,3.217391304347826,"[(1, 1, 1), (12, 1, 1), (303, 1, 1), (908, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_per_fused_mm_t_3,20.0,31.320343749999992,24.799124999999975,43.71525000000001,1.5660171874999995,0.0,3.925,"[(5, 1, 1), (20, 1, 1), (40, 1, 1), (80, 1, 1), (640, 1, 1)]","[(32, 1, 1), (64, 1, 1), (128, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_5,20.0,28.62849999999999,27.683749999999982,29.091624999999976,1.4314249999999995,0.0,0,"[(2, 1, 1), (4, 1, 1), (8, 1, 1)]","[(128, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,3.0,28.23828125,10.05925,48.570875,9.412760416666666,0.0,0.75,"[(1, 1, 1), (4, 1, 1)]","[(64, 1, 1), (128, 1, 1), (512, 1, 1), (1024, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_per_fused__to_copy_native_layer_norm_slice_4,20.0,28.054593749999988,26.23162499999999,29.76349999999999,1.4027296874999995,0.0,0,"[(2, 1, 1), (4, 1, 1)]","[(32, 1, 1), (64, 1, 1)]",[19]
Elementwise and metadata,kernel,at::native::index_elementwise_kernel,11.0,26.258749999999996,25.867499999999993,26.460000000000004,2.3871590909090905,0.0,1.4545454545454546,"[(1, 1, 1), (4, 1, 1), (12, 1, 1), (303, 1, 1)]","[(128, 1, 1)]",[19]
MTP FP8 block,kernel,tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel,3.0,19.757656249999997,17.1475,21.879625,6.585885416666666,0.0,0,"[(4, 1, 1)]","[(256, 1, 1)]",[19]
Explicit copies,gpu_memcpy,Memcpy DtoD ,18.0,19.622687499999998,19.29562500000001,19.783499999999986,1.0901493055555553,1981720.0,,[],[],[19]
Elementwise and metadata,kernel,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,10.25,14.572750000000003,1.3639999999999999,31.143624999999997,1.4217317073170734,0.0,13.951219512195122,"[(32, 1, 1), (128, 1, 1), (256, 1, 1)]","[(64, 1, 1), (128, 1, 1), (256, 1, 1)]",[19]
