-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     676.654us         0.28%     676.654us      21.145us            32
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     648.147us         0.27%     648.147us       1.000us           648
                              vllm::sparse_attn_indexer         2.49%       5.363ms         4.23%       9.132ms     380.517us     623.603us         0.26%       1.304ms      54.354us            24
                                   _C::cooperative_topk         0.12%     252.254us         0.29%     632.277us      26.345us     618.707us         0.26%     618.707us      25.779us            24
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     599.602us         0.25%     599.602us       1.315us           456
                 nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     570.008us         0.24%     570.008us       3.393us           168
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     532.790us         0.22%     532.790us      16.650us            32
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     516.693us         0.21%     516.693us       3.076us           168
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     443.055us         0.18%     443.055us       2.308us           192
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us     376.538us         0.16%     376.538us       1.961us           192
                                           aten::argmax         0.56%       1.214ms         0.91%       1.952ms      48.798us     371.292us         0.15%     371.292us       9.282us            40
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     359.162us         0.15%     359.162us       1.871us           192
                                triton_per_fused_mm_t_3         0.00%       0.000us         0.00%       0.000us       0.000us     349.722us         0.14%     349.722us       2.186us           160
void tensorrt_llm::kernels::fp8_blockscale_gemm::sca...         0.00%       0.000us         0.00%       0.000us       0.000us     270.588us         0.11%     270.588us       1.879us           144
                                     triton_red_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us     266.073us         0.11%     266.073us       1.663us           160
void deep_gemm::fp8_gemm_kernel_swapAB<4096u, 2048u,...         0.00%       0.000us         0.00%       0.000us       0.000us     264.826us         0.11%     264.826us       5.517us            48
void deep_gemm::fp8_gemm_kernel_swapAB<6144u, 4096u,...         0.00%       0.000us         0.00%       0.000us       0.000us     252.378us         0.10%     252.378us      10.516us            24
