-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.491ms         1.03%       2.491ms       3.844us           648
kernel_cutlass_kernel_vllmmodel_executorkernelslinea...         0.00%       0.000us         0.00%       0.000us       0.000us       2.289ms         0.95%       2.289ms       3.814us           600
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.120ms         0.88%       2.120ms       3.398us           624
triton_red_fused_fused_add_rms_norm_moe_forward_shar...         0.00%       0.000us         0.00%       0.000us       0.000us       2.105ms         0.87%       2.105ms       3.374us           624
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.694ms         0.70%       1.694ms       0.997us          1699
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.692ms         0.70%       1.692ms       1.410us          1200
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.616ms         0.67%       1.616ms       3.544us           456
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.591ms         0.66%       1.591ms       2.486us           640
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.422ms         0.59%       1.422ms       0.977us          1456
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us       1.336ms         0.55%       1.336ms       1.092us          1224
void vllm::concat_and_cache_ds_mla_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.208ms         0.50%       1.208ms       1.864us           648
                                triton_tem_fused_mm_t_7         0.00%       0.000us         0.00%       0.000us       0.000us       1.198ms         0.49%       1.198ms       7.487us           160
                                triton_tem_fused_mm_t_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.180ms         0.49%       1.180ms      49.183us            24
void vllm::ConcatMLAQKernel<c10::BFloat16, 512>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.163ms         0.48%       1.163ms       1.795us           648
              _convert_req_index_to_global_index_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.099ms         0.45%       1.099ms       1.696us           648
void deep_gemm::fp8_gemm_kernel_swapAB<4096u, 6144u,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.091ms         0.45%       1.091ms      45.478us            24
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       1.049ms         0.43%       1.049ms       2.301us           456
                         _flashmla_C::sparse_decode_fwd         0.47%       1.562ms         1.17%       3.888ms     162.012us       1.034ms         0.43%       1.034ms      43.099us            24
                                            aten::copy_         1.75%       5.800ms         3.84%      12.743ms      18.740us     875.445us         0.36%     875.445us       1.287us           680
                             triton_poi_fused_add_mul_1         0.00%       0.000us         0.00%       0.000us       0.000us     821.003us         0.34%     821.003us       1.316us           624
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     709.781us         0.29%     709.781us       1.557us           456
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     683.571us         0.28%     683.571us       1.139us           600
                 nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     681.744us         0.28%     681.744us       3.551us           192
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     657.267us         0.27%     657.267us       1.014us           648
void deep_gemm::fp8_gemm_kernel_swapAB<6144u, 2048u,...         0.00%       0.000us         0.00%       0.000us       0.000us     632.376us         0.26%     632.376us      26.349us            24
                                     triton_red_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us     627.825us         0.26%     627.825us       3.924us           160
                                   _C::cooperative_topk         0.07%     247.675us         0.20%     661.879us      27.578us     626.390us         0.26%     626.390us      26.100us            24
                              vllm::sparse_attn_indexer         1.72%       5.714ms         2.94%       9.736ms     405.667us     625.653us         0.26%       1.315ms      54.795us            24
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     592.024us         0.24%     592.024us       3.524us           168
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     581.171us         0.24%     581.171us       1.274us           456
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     531.636us         0.22%     531.636us      16.614us            32
                     _fused_indexer_q_rope_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     412.048us         0.17%     412.048us       2.146us           192
                                       vllm::all_gather         0.96%       3.190ms         1.66%       5.498ms     171.817us     403.574us         0.17%     429.397us      13.419us            32
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     403.574us         0.17%     403.574us      12.612us            32
                                           aten::argmax         0.40%       1.321ms         0.64%       2.135ms      53.376us     372.667us         0.15%     372.667us       9.317us            40
     triton_red_fused_add_fused_add_rms_norm_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     352.665us         0.15%     352.665us      14.694us            24
void vllm::indexer_k_quant_and_cache_kernel<__nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us     349.373us         0.14%     349.373us       1.820us           192
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     347.614us         0.14%     347.614us       1.810us           192
void tensorrt_llm::kernels::fp8_blockscale_gemm::sca...         0.00%       0.000us         0.00%       0.000us       0.000us     273.472us         0.11%     273.472us       1.899us           144
void deep_gemm::fp8_gemm_kernel_swapAB<4096u, 2048u,...         0.00%       0.000us         0.00%       0.000us       0.000us     262.904us         0.11%     262.904us       5.477us            48
void deep_gemm::fp8_gemm_kernel_swapAB<6144u, 4096u,...         0.00%       0.000us         0.00%       0.000us       0.000us     254.844us         0.11%     254.844us      10.619us            24
void deep_gemm::fp8_gemm_kernel_swapAB<2624u, 6144u,...         0.00%       0.000us         0.00%       0.000us       0.000us     245.533us         0.10%     245.533us      10.231us            24
void deep_gemm::fp8_gemm_kernel_swapAB<1024u, 6144u,...         0.00%       0.000us         0.00%       0.000us       0.000us     236.572us         0.10%     236.572us       9.857us            24
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     232.733us         0.10%     232.733us       1.455us           160
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     229.149us         0.09%     229.149us       0.967us           237
    triton_per_fused__to_copy_native_layer_norm_slice_4         0.00%       0.000us         0.00%       0.000us       0.000us     227.679us         0.09%     227.679us       1.423us           160
                                            aten::index         0.72%       2.391ms         1.83%       6.071ms      63.237us     221.694us         0.09%     293.917us       3.062us            96
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     209.949us         0.09%     209.949us       1.312us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     205.918us         0.09%     205.918us       8.580us            24
                                triton_per_fused_mm_t_3         0.00%       0.000us         0.00%       0.000us       0.000us     203.195us         0.08%     203.195us       1.270us           160
void tensorrt_llm::kernels::fp8_blockscale_gemm::sca...         0.00%       0.000us         0.00%       0.000us       0.000us     201.915us         0.08%     201.915us       4.207us            48
void smxx::decode::flash_fwd_mla_combine_kernel<cutl...         0.00%       0.000us         0.00%       0.000us       0.000us     187.614us         0.08%     187.614us      11.726us            16
                                              aten::bmm         0.48%       1.593ms         0.69%       2.273ms      47.349us     184.543us         0.08%     184.543us       3.845us            48
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     157.536us         0.07%     157.536us       1.094us           144
void tensorrt_llm::kernels::cutlass_kernels::finaliz...         0.00%       0.000us         0.00%       0.000us       0.000us     155.390us         0.06%     155.390us       6.475us            24
                                       cuLaunchKernelEx         0.98%       3.241ms         0.98%       3.241ms      12.661us     151.293us         0.06%     151.293us       0.591us           256
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     131.644us         0.05%     131.644us       2.743us            48
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     129.726us         0.05%     129.726us       8.108us            16
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us     112.828us         0.05%     112.828us       4.701us            24
void deep_gemm::fp8_gemm_kernel_swapAB<6144u, 512u, ...         0.00%       0.000us         0.00%       0.000us       0.000us     110.396us         0.05%     110.396us       4.600us            24
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.871us         0.04%      99.871us       2.081us            48
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      96.157us         0.04%      96.157us       1.336us            72
                                            aten::fill_         0.49%       1.625ms         0.97%       3.223ms      14.388us      89.503us         0.04%      89.503us       0.400us           224
void router_gemm_kernel_float_output<__nv_bfloat16, ...         0.00%       0.000us         0.00%       0.000us       0.000us      82.848us         0.03%      82.848us       3.452us            24
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      82.527us         0.03%      82.527us       3.439us            24
                            triton_red_fused_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      77.310us         0.03%      77.310us       9.664us             8
void deep_gemm::sched::smxx_paged_mqa_logits_metadat...         0.00%       0.000us         0.00%       0.000us       0.000us      75.551us         0.03%      75.551us       2.361us            32
       triton_red_fused_fused_add_rms_norm_machete_mm_0         0.00%       0.000us         0.00%       0.000us       0.000us      72.958us         0.03%      72.958us       3.040us            24
                         _prepare_uniform_decode_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      65.375us         0.03%      65.375us       4.086us            16
triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze...         0.00%       0.000us         0.00%       0.000us       0.000us      63.360us         0.03%      63.360us       2.640us            24
                                             aten::mean         0.13%     431.864us         0.21%     685.589us      28.566us      63.136us         0.03%      63.136us       2.631us            24
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      63.136us         0.03%      63.136us       2.631us            24
void tensorrt_llm::kernels::cutlass_kernels::expandI...         0.00%       0.000us         0.00%       0.000us       0.000us      61.472us         0.03%      61.472us       2.561us            24
                                triton_tem_fused_mm_t_6         0.00%       0.000us         0.00%       0.000us       0.000us      59.968us         0.02%      59.968us       7.496us             8
                                              aten::mul         0.19%     616.082us         0.31%       1.042ms      21.700us      59.744us         0.02%      59.744us       1.245us            48
                                triton_per_fused_mm_t_5         0.00%       0.000us         0.00%       0.000us       0.000us      58.398us         0.02%      58.398us       2.433us            24
void tensorrt_llm::kernels::cutlass_kernels::doActiv...         0.00%       0.000us         0.00%       0.000us       0.000us      57.374us         0.02%      57.374us       2.391us            24
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      54.173us         0.02%      54.173us       2.257us            24
                            triton_red_fused_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us      54.144us         0.02%      54.144us       2.256us            24
                                     triton_red_fused_8         0.00%       0.000us         0.00%       0.000us       0.000us      52.256us         0.02%      52.256us       2.177us            24
                                  cudaStreamIsCapturing         0.08%     280.087us         0.08%     280.087us       0.661us      51.679us         0.02%      51.679us       0.122us           424
                                              aten::add         0.23%     751.503us         0.38%       1.270ms      22.685us      50.718us         0.02%      50.718us       0.906us            56
                     _C_cache_ops::concat_and_cache_mla         0.11%     366.743us         0.21%     690.351us      28.765us      49.152us         0.02%      49.152us       2.048us            24
                _C_cache_ops::indexer_k_quant_and_cache         0.11%     349.627us         0.21%     693.939us      28.914us      44.640us         0.02%      44.640us       1.860us            24
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 331.523ms
Self CUDA time total: 242.129ms
