role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Target routed W4 MoE,marlin_moe_wna16::Marlin,396x1x1,128x1x1,300.0,31997.844291666668,30534.600833333334,32730.13666666667,106.65948097222223,86.687,200.829,339.258,0
TP custom all-reduce,vLLM custom all-reduce,24x1x1,512x1x1,160.0,10738.85125,8063.735000000001,12574.725166666665,67.1178203125,6.847,151.581,405.24,5
Target W4 Machete,Machete GEMM,1x132x1,384x1x1,312.0,3697.86975,3685.4773333333337,3703.5788333333335,11.852146634615385,13.216,17.152,20.384,0
TP custom all-reduce,vLLM custom all-reduce,6x1x1,512x1x1,6.0,2530.0003333333334,481.95866666666666,3894.6178333333332,421.66672222222223,117.118,1947.29,2376.37,1
Routed MoE support,vllm::act_and_mul_kernel,128x1x1,256x1x1,150.0,2439.9155,2397.8231666666666,2464.860166666667,16.266103333333334,9.759,32.383,66.43,12
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x16x8,384x1x1,79.0,1978.7130833333333,1969.8393333333333,1983.9493333333332,25.04700105485232,25.055,25.343,25.6,0
DCP query all-gather,NCCL AllGather,24x1x1,512x1x1,79.0,1546.8366666666666,1117.3016666666667,1809.2528333333332,19.580210970464137,12.863,14.656,18.463,0
DCP LSE all-gather,NCCL AllGather,1x1x1,128x1x1,2.0,1481.5711250000002,235.22766666666666,2171.6325,740.7855625,845.327,1402.117,1461.635,0
Routed MoE support,vllm::moe::moe_sum_vec_kernel,48x1x1,256x1x1,150.0,1476.7193333333335,1396.1431666666667,1534.3743333333332,9.844795555555555,5.728,24.543,45.311,5
Vocabulary all-gather,NCCL AllGather,24x1x1,512x1x1,3.0,1322.0704166666665,279.264,1869.0573333333332,440.6901388888889,369.881,1205.992,1283.687,0
DCP LSE all-gather,NCCL AllGather,1x1x1,512x1x1,79.0,1265.277125,704.7568333333334,1592.1338333333333,16.016166139240507,7.551,8.928,11.072,0
DCP query all-gather,NCCL AllGather,18x1x1,512x1x1,2.0,1150.0390416666667,227.1101666666667,1652.3145000000002,575.0195208333333,646.227,1064.684,1091.083,0
DCP reduce-scatter,NCCL ReduceScatter,24x1x1,512x1x1,79.0,1124.2955,906.7695,1260.1243333333334,14.231588607594936,10.175,11.456,13.216,0
DSA full-context scan,deep_gemm::sm90_fp8_paged_mqa_logits,132x1x1,640x1x1,24.0,1092.4413749999999,1064.193,1111.3116666666667,45.518390625,48.095,49.695,50.367,0
DCP candidate all-gather,NCCL AllGather,16x1x1,512x1x1,2.0,1005.1283333333333,223.44616666666664,1418.6923333333334,502.56416666666667,544.117,945.838,963.437,0
Target QKV-A W4,marlin::Marlin,132x1x1,128x1x1,78.0,917.1959999999999,914.3026666666666,919.8475,11.758923076923077,11.712,12.064,12.64,0
DCP candidate all-gather,NCCL AllGather,24x1x1,512x1x1,22.0,775.1361666666667,467.30199999999996,1074.6565,35.23346212121212,16.351,21.408,884.655,0
DCP reduce-scatter,NCCL ReduceScatter,16x1x1,512x1x1,2.0,655.7739583333333,214.9025,890.7081666666667,327.88697916666666,356.409,574.485,599.06,0
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x16x8,256x1x1,79.0,631.71525,625.6095,640.3186666666667,7.996395569620253,8.0,8.32,8.608,12
MTP FP8 block,deep_gemm::fp8_gemm_kernel_swapAB,132x1x1,384x1x1,24.0,543.493375,508.945,626.8463333333333,22.645557291666666,10.24,61.95,161.084,0
Routed MoE support,vllm::moe::moe_align_block_size_kernel,2x1x1,1024x1x1,150.0,508.3489583333333,503.7906666666667,511.6596666666667,3.3889930555555554,3.392,3.552,3.68,1
Elementwise and metadata,at::native::vectorized_elementwise_kernel,1x1x1,128x1x1,365.0,457.36975,446.06183333333337,464.29449999999997,1.2530678082191782,1.184,1.728,1.92,0
DSA top-k,vllm::cooperative::cooperative_topk_cs4,16x4x1,1024x1x1,22.0,453.00054166666666,450.7968333333333,457.69266666666664,20.590933712121213,20.576,21.535,22.208,0
Vocabulary GEMM,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT,2x66x1,384x1x1,3.0,426.62654166666664,417.3255,430.781,142.20884722222223,140.605,148.189,148.893,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_1x2_h_bz_NNT,2x64x1,384x1x1,79.0,365.79491666666667,364.80400000000003,366.52833333333336,4.630315400843882,4.608,4.736,5.056,0
Routed MoE support,vllm::moe::count_and_sort_expert_tokens_kernel,1x1x1,256x1x1,150.0,355.4721666666667,345.34816666666666,362.5038333333334,2.3698144444444442,2.4,2.624,2.784,0
Target MoE router,kernel_cutlass_kernel_vllmmodel_executorkernelslinearcute_dsl_ll_bf16_splitkLLBf16SplitK_object_at__tensorptrbf16_gmem_align16_o_i64_div81_tensorptrbf16_gmem_align16_o_i64_div81_tensorptr_0,1x16x6,256x1x1,75.0,330.6044166666667,329.7531666666667,331.19433333333336,4.408058888888889,4.384,4.639,4.991,0
DSA top-k,DCP stable top-k,16x1x1,512x1x1,22.0,319.9065,318.9268333333333,320.56033333333335,14.541204545454546,14.656,15.392,15.968,3
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x16_64x16_2x1_v_bz_TNT,2x64x1,384x1x1,79.0,312.10904166666666,311.536,312.8098333333333,3.9507473628691985,3.904,4.16,4.576,0
Routed MoE support,vllm::moe::grouped_topk_fused_small_expert_count_kernel,16x1x1,384x1x1,76.0,294.3802083333333,293.78516666666667,295.03316666666666,3.873423793859649,3.84,4.0,4.608,2
Memsets,Memset ,,,242.0,286.89545833333335,283.56350000000003,290.5638333333333,1.1855184228650137,1.184,1.344,1.824,
Elementwise and metadata,at::native::elementwise_kernel,1024x1x1,128x1x1,101.0,247.24754166666668,245.77033333333335,248.64916666666667,2.4479954620462046,2.528,2.56,2.656,48
Elementwise and metadata,at::native::,264x2x1,512x1x1,81.0,240.55733333333333,239.54116666666667,242.18266666666668,2.969843621399177,2.944,3.168,3.328,100
Elementwise and metadata,at::native::elementwise_kernel,1152x1x1,128x1x1,79.0,234.123125,231.9623333333333,236.77433333333332,2.9635838607594938,2.944,3.04,3.168,55
Elementwise and metadata,at::native::elementwise_kernel,256x1x1,128x1x1,83.0,195.3924583333333,194.35916666666665,195.9333333333333,2.3541260040160643,2.368,2.432,2.464,12
DCP/index metadata,_convert_req_index_to_global_index_kernel,16x16x1,128x1x1,79.0,183.88779166666666,182.85916666666665,185.30266666666668,2.327693565400844,2.304,2.432,2.56,12
DCP LSE correction,_correct_attn_cp_out_kernel,16x64x1,128x1x1,79.0,159.978,157.81550000000001,161.92249999999999,2.0250379746835443,2.016,2.08,2.176,48
MTP BF16 projection,triton_tem_fused_mm_t_3,192x1x1,64x1x1,3.0,157.416875,153.81033333333332,159.38333333333333,52.47229166666667,51.167,57.055,58.335,5
Elementwise and metadata,triton_tem_fused_mm_t_7,128x1x1,64x1x1,20.0,156.28370833333332,155.30383333333333,157.3565,7.814185416666667,7.775,8.192,8.544,3
Attention/index support,vllm::concat_and_cache_ds_mla_kernel,16x1x1,96x1x1,79.0,152.94845833333332,151.1965,154.07616666666667,1.9360564345991562,1.888,2.144,2.368,1
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,16x1x1,512x1x1,52.25,149.707625,0.0,218.03883333333332,2.8652177033492823,2.88,3.04,3.199,3
Vocabulary GEMM,nvjet_sm90_tst_192x16_64x8_2x1_v_bz_TNT,2x66x1,384x1x1,1.0,144.77991666666668,142.8185,146.68516666666667,144.77991666666668,144.222,149.149,149.789,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_marlin_gemm_2,16x1x1,1024x1x1,42.75,133.12345833333333,0.0,194.86083333333332,3.1139990253411307,3.328,3.52,3.712,6
Elementwise and metadata,at::native::elementwise_kernel,4x1x1,128x1x1,79.0,121.88762499999999,118.05683333333333,126.142,1.542881329113924,1.536,1.696,1.824,0
Elementwise and metadata,memcpy32_post,192x1x1,256x1x1,76.0,120.44175,119.32633333333332,121.411,1.5847598684210527,1.536,2.048,2.24,18
Elementwise and metadata,at::native::vectorized_elementwise_kernel,96x1x1,128x1x1,75.0,118.09770833333333,117.48,118.79266666666666,1.5746361111111111,1.472,2.112,2.624,5
Elementwise and metadata,triton_poi_fused_mul_silu_slice_0,16x1x1,256x1x1,76.0,114.157375,112.06700000000001,115.28833333333334,1.5020707236842106,1.376,1.984,2.304,2
Vocabulary all-gather,NCCL AllGather,24x1x1,544x1x1,1.0,105.63658333333333,39.72716666666667,130.01366666666667,105.63658333333333,126.974,131.454,135.229,0
Elementwise and metadata,triton_red_fused_4,32x1x1,128x1x1,42.75,99.28829166666665,0.0,132.88766666666666,2.3225331384015595,2.304,2.464,2.624,2
Elementwise and metadata,at::native::vectorized_elementwise_kernel,32x1x1,128x1x1,101.0,92.087625,91.11816666666668,93.14550000000001,0.9117586633663366,0.896,0.96,1.088,2
Elementwise and metadata,memcpy32_post,4x1x1,256x1x1,78.0,79.03558333333334,78.0575,80.158,1.0132767094017094,1.024,1.056,1.184,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,16x1x1,1024x1x1,23.0,60.92991666666667,0.0,199.05866666666668,2.649126811594203,2.624,2.816,2.976,6
Attention/index support,_fused_indexer_q_rope_quant_kernel,16x32x1,32x1x1,22.0,52.904375,52.06833333333333,53.97266666666667,2.404744318181818,2.432,2.496,2.592,6
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x16_64x16_4x1_v_bz_TNT,4x24x1,384x1x1,14.75,51.80404166666666,3.4771666666666667,70.27083333333333,3.512138418079096,3.488,3.648,4.064,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_marlin_gemm_2,16x1x1,512x1x1,14.25,47.41379166666667,0.0,189.65516666666667,3.327283625730994,3.328,3.456,3.647,3
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,16x1x1,512x1x1,15.25,44.46175,8.703999999999999,58.8255,2.915524590163934,2.912,3.072,3.167,3
Attention/index support,vllm::indexer_k_quant_and_cache_kernel,16x1x1,32x4x1,22.0,43.13925,42.239,43.802,1.960875,1.952,2.144,2.4,1
DCP/index metadata,_pack_dcp_topk_candidates_triton_kernel,16x4x1,256x1x1,22.0,41.23129166666667,40.127500000000005,41.82833333333333,1.8741496212121211,1.856,2.048,2.272,6
Elementwise and metadata,triton_poi_fused_3,16x1x1,128x1x1,28.5,40.401916666666665,0.0,80.80966666666667,1.4176111111111112,1.376,1.568,1.76,1
MTP FP8 block,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,1056x1x1,256x1x1,18.0,35.364625000000004,35.17316666666667,35.51316666666667,1.964701388888889,1.76,2.496,3.584,100
Elementwise and metadata,at::native::reduce_kernel,4x19x1,128x4x1,4.0,34.607458333333334,34.239333333333335,35.028666666666666,8.651864583333333,8.64,8.992,9.343,14
Explicit copies,Memcpy HtoD ,,,29.0,34.32183333333333,27.210166666666666,40.53783333333333,1.1835114942528735,0.864,2.08,3.039,
Elementwise and metadata,triton_red_fused_4,32x1x1,256x1x1,14.25,32.40058333333334,0.0,129.60233333333335,2.2737251461988306,2.24,2.4,2.528,3
DSA top-k,vllm::cooperative::cooperative_topk_cs8,4x8x1,1024x1x1,2.0,30.338291666666667,30.1755,30.453,15.169145833333333,15.136,15.456,15.744,0
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x4x33,384x1x1,2.0,29.712708333333335,29.594166666666666,29.882,14.856354166666668,14.848,15.04,15.103,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,8x1x1,64x1x1,4.25,28.54625,0.0,114.185,6.716764705882353,6.72,6.912,7.008,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,1x1x1,64x1x1,0.25,27.151458333333334,0.0,108.60583333333334,108.60583333333334,108.862,108.957,108.957,0
Elementwise and metadata,triton_poi_fused_add_mul_1,384x1x1,128x1x1,19.75,25.783375,0.0,97.0695,1.305487341772152,1.28,1.439,1.632,18
Elementwise and metadata,triton_poi_fused_add_mul_1,384x1x1,256x1x1,19.25,25.391624999999998,0.0,98.36649999999999,1.3190454545454546,1.312,1.408,1.632,36
Explicit copies,Memcpy DtoD ,,,25.0,24.980875,24.757,25.466166666666666,0.999235,0.832,1.344,3.584,
DSA top-k,DCP stable top-k,4x1x1,512x1x1,2.0,24.50475,24.372333333333334,24.634333333333334,12.252375,12.575,12.928,13.375,1
MTP FP8 block,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,132x1x1,256x1x1,6.0,24.39420833333333,22.767,25.018333333333334,4.065701388888889,4.0,4.96,6.688,13
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,64x1x1,512x1x1,14.25,24.080833333333334,0.0,96.32333333333334,1.6898830409356724,1.696,1.792,1.952,12
Elementwise and metadata,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,1x1x1,128x1x1,1.5,24.06491666666667,0.0,33.37016666666667,16.043277777777778,15.872,17.28,18.047,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,256x1x1,64x1x1,14.25,23.490333333333336,0.0,93.96133333333334,1.6484444444444444,1.664,1.696,1.824,6
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x16_64x16_1x1_h_bz_TNT,1x96x1,384x1x1,6.5,23.17145833333333,3.392,73.85466666666666,3.5648397435897436,3.456,3.872,4.416,0
Elementwise and metadata,triton_poi_fused_add_mul_1,96x1x1,256x1x1,19.0,22.929000000000002,0.0,90.23333333333333,1.2067894736842104,1.184,1.312,1.472,9
Elementwise and metadata,at::native::unrolled_elementwise_kernel,1x1x1,128x1x1,19.0,22.427750000000003,22.069000000000003,22.943833333333334,1.1804078947368422,1.12,1.536,2.208,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,256x1x1,256x1x1,14.25,22.324916666666667,0.0,89.29966666666667,1.5666608187134503,1.568,1.664,1.76,24
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,128x1x1,256x1x1,14.25,22.231583333333333,0.0,88.92633333333333,1.5601111111111112,1.568,1.632,1.696,12
Elementwise and metadata,triton_poi_fused_3,16x1x1,256x1x1,14.25,21.167708333333334,0.0,84.67083333333333,1.485453216374269,1.44,1.632,1.792,2
Attention/index support,smxx::decode::get_mla_metadata_kernel,1x1x1,32x1x1,4.0,20.708958333333335,20.645,20.794333333333334,5.177239583333334,7.359,7.456,7.552,0
Elementwise and metadata,triton_poi_fused_add_mul_1,192x1x1,256x1x1,14.5,18.15970833333333,0.0,72.63883333333332,1.2523936781609195,1.248,1.344,1.44,18
Elementwise and metadata,triton_poi_fused_3,8x1x1,256x1x1,14.25,17.833208333333335,0.0,71.33283333333334,1.251453216374269,1.248,1.344,1.536,1
Elementwise and metadata,triton_red_fused_6,32x1x1,256x1x1,10.0,16.44775,0.0,33.3115,1.644775,1.632,1.76,1.888,3
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x4x8,256x1x1,2.0,16.008958333333336,14.826166666666667,16.602333333333334,8.004479166666666,8.192,8.384,8.576,3
Routed MoE support,vllm::moe::grouped_topk_fused_small_expert_count_kernel,4x1x1,384x1x1,2.0,14.538208333333333,11.594166666666666,16.666,7.269104166666667,8.224,8.927,9.567,1
MTP FP8 block,tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel,4x1x1,256x1x1,2.0,14.231791666666668,11.8825,18.090500000000002,7.115895833333333,6.976,9.664,12.703,0
Elementwise and metadata,triton_poi_fused_5,16x1x1,128x1x1,9.5,13.554458333333333,0.0,27.348666666666663,1.4267850877192982,1.408,1.504,1.6,1
Elementwise and metadata,triton_poi_fused_5,32x1x1,128x1x1,9.25,13.445208333333332,0.0,29.07683333333333,1.453536036036036,1.44,1.504,1.632,2
