role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,triton_per_fused_mm_t_3,5x1x1,256x1x1,1.0,2.311958333333333,0.0,4.709333333333333,2.311958333333333,2.304,2.4,2.464,0
Elementwise and metadata,triton_poi_fused_machete_mm_mul_silu_slice_1,24x1x1,128x1x1,1.5,2.1252916666666666,0.0,4.346666666666667,1.4168611111111111,1.408,1.504,1.536,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,8x1x1,256x1x1,0.75,2.121208333333333,0.0,8.484833333333333,2.8282777777777777,2.816,2.88,2.88,1
Elementwise and metadata,triton_red_fused_1,2x1x1,512x1x1,0.75,2.0959583333333334,0.0,8.383833333333333,2.794611111111111,2.752,3.072,3.072,0
Elementwise and metadata,triton_tem_fused_mm_t_6,64x1x1,128x1x1,0.25,1.9532916666666666,0.0,7.813166666666667,7.813166666666667,7.807,8.128,8.128,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,4x1x1,1024x1x1,0.75,1.9532916666666666,0.0,7.813166666666667,2.604388888888889,2.624,2.784,2.816,2
Elementwise and metadata,triton_red_fused_rms_norm_3,4x1x1,256x1x1,0.75,1.9413333333333334,0.0,7.765333333333333,2.5884444444444443,2.688,2.816,2.848,0
Elementwise and metadata,triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze_where_2,4x1x1,512x1x1,0.75,1.9306666666666665,0.0,7.722666666666666,2.574222222222222,2.656,2.72,2.784,1
Elementwise and metadata,triton_red_fused_rms_norm_3,4x1x1,512x1x1,0.75,1.8759583333333334,0.0,7.503833333333334,2.5012777777777777,2.528,2.688,2.72,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,512x1x1,128x1x1,1.25,1.8759583333333332,0.0,7.503833333333333,1.5007666666666666,1.504,1.632,1.664,24
Elementwise and metadata,triton_red_fused_5,2x1x1,128x1x1,0.5,1.859875,0.0,3.877166666666666,3.71975,3.808,3.872,4.063,0
Elementwise and metadata,triton_per_fused_mm_t_3,160x1x1,64x1x1,1.25,1.6853333333333333,0.0,4.053333333333334,1.3482666666666667,1.344,1.408,1.472,4
Elementwise and metadata,triton_per_fused_mm_t_2,5x1x1,256x1x1,0.75,1.6800000000000002,0.0,2.266666666666667,2.24,2.24,2.272,2.368,0
Elementwise and metadata,at::native::vectorized_gather_kernel,3x76x1,256x1x1,1.0,1.6346666666666667,1.3706666666666667,1.8613333333333333,1.6346666666666667,1.632,1.92,2.016,22
Elementwise and metadata,triton_red_fused_6,4x1x1,256x1x1,0.5,1.5426250000000001,0.0,6.1705000000000005,3.08525,3.04,3.264,3.296,0
Elementwise and metadata,rejection_greedy_sample_kernel,1x1x1,128x1x1,1.0,1.5413333333333332,1.4879999999999998,1.5946666666666667,1.5413333333333332,1.536,1.664,1.856,0
Elementwise and metadata,triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_index_where_0,1x1x1,32x1x1,1.0,1.5306666666666666,1.4400000000000002,1.5679999999999998,1.5306666666666666,1.536,1.664,1.696,0
Elementwise and metadata,at_cuda_detail::cub::detail::scan::DeviceScanInitKernel,1x1x1,128x1x1,2.0,1.498625,1.4238333333333333,1.5466666666666666,0.7493125,0.736,0.832,0.896,0
Elementwise and metadata,at::native::vectorized_gather_kernel,4x3x1,256x1x1,1.0,1.4866666666666668,1.4666666666666668,1.4986666666666668,1.4866666666666666,1.472,1.6,1.664,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,32x1x1,128x1x1,0.75,1.4719583333333333,0.0,5.887833333333333,1.962611111111111,1.952,1.984,2.016,2
Elementwise and metadata,triton_red_fused_rms_norm_4,4x1x1,1024x1x1,0.75,1.4546666666666666,0.0,5.818666666666666,1.9395555555555555,1.92,2.08,2.08,2
Elementwise and metadata,at::native::vectorized_elementwise_kernel,2x1x1,128x1x1,2.0,1.4333333333333333,1.4240000000000002,1.4453333333333334,0.7166666666666667,0.704,0.736,0.736,0
Elementwise and metadata,eagle_prepare_next_token_padded_kernel,1x1x1,128x1x1,1.0,1.4026666666666667,1.3333333333333333,1.4666666666666668,1.4026666666666667,1.408,1.504,1.536,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,32x1x1,256x1x1,0.75,1.3812499999999999,0.0,5.5249999999999995,1.8416666666666668,1.855,1.888,1.888,3
Elementwise and metadata,at::native::,1x3x1,128x1x1,1.0,1.370625,1.3171666666666666,1.4613333333333334,1.370625,1.376,1.504,1.6,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,128x1x1,128x1x1,1.0,1.370625,0.0,2.8000000000000003,1.370625,1.344,1.536,1.696,6
Elementwise and metadata,triton_poi_fused_0,384x1x1,128x1x1,0.75,1.2972916666666665,0.0,5.189166666666666,1.7297222222222222,1.728,1.888,1.92,18
Elementwise and metadata,triton_poi_fused_0,96x1x1,256x1x1,0.75,1.2279166666666665,0.0,4.911666666666666,1.6372222222222221,1.632,1.728,1.792,9
Elementwise and metadata,triton_poi_fused_machete_mm_mul_silu_slice_1,192x1x1,32x1x1,0.75,1.1346666666666667,0.0,4.538666666666667,1.512888888888889,1.504,1.6,1.632,2
Elementwise and metadata,triton_red_fused_rms_norm_1,4x1x1,512x1x1,0.5,1.1226666666666667,0.0,2.256,2.2453333333333334,2.272,2.336,2.368,1
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_5,2x1x1,128x1x1,0.75,1.1133333333333333,0.0,4.453333333333333,1.4844444444444445,1.504,1.568,1.568,0
Elementwise and metadata,triton_poi_fused_machete_mm_mul_silu_slice_1,192x1x1,128x1x1,0.75,1.1133333333333333,0.0,4.453333333333333,1.4844444444444445,1.472,1.536,1.536,9
Elementwise and metadata,triton_poi_fused_5,16x1x1,128x1x1,0.75,1.1079999999999999,0.0,4.4319999999999995,1.4773333333333334,1.504,1.568,1.6,1
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_5,2x1x1,64x1x1,0.75,1.1012916666666668,0.0,4.405166666666667,1.468388888888889,1.504,1.568,1.6,0
Elementwise and metadata,triton_poi_fused_6,8x1x1,128x1x1,0.75,1.0879583333333334,0.0,4.351833333333333,1.450611111111111,1.44,1.727,1.728,0
Elementwise and metadata,triton_per_fused_mm_t_3,640x1x1,256x1x1,0.5,1.08,0.0,4.32,2.16,2.144,2.208,2.24,61
Elementwise and metadata,triton_poi_fused_add_mul_1,192x1x1,64x1x1,0.75,1.0505416666666667,0.0,4.202166666666667,1.4007222222222222,1.376,1.568,1.568,5
Elementwise and metadata,triton_poi_fused_6,8x1x1,64x1x1,0.75,1.018625,0.0,4.0745,1.3581666666666667,1.344,1.472,1.504,0
Elementwise and metadata,eagle_prepare_inputs_padded_kernel,1x1x1,128x1x1,1.0,1.0093333333333334,0.976,1.0933333333333335,1.0093333333333334,0.992,1.12,1.184,0
Elementwise and metadata,triton_poi_fused_add_mul_1,48x1x1,128x1x1,0.75,0.9706250000000001,0.0,3.8825000000000003,1.2941666666666667,1.28,1.44,1.472,2
Elementwise and metadata,triton_per_fused_mm_t_3,160x1x1,32x1x1,0.75,0.9572499999999999,0.0,2.543833333333333,1.2763333333333333,1.28,1.312,1.44,2
Elementwise and metadata,triton_per_fused_mm_t_3,20x1x1,64x1x1,0.75,0.9413333333333332,0.0,2.4906666666666664,1.255111111111111,1.248,1.312,1.312,0
Elementwise and metadata,triton_per_fused_mm_t_3,80x1x1,32x1x1,0.75,0.9346666666666666,0.0,3.7386666666666666,1.2462222222222221,1.248,1.344,1.376,1
Elementwise and metadata,triton_red_fused_6,4x1x1,512x1x1,0.5,0.9213333333333334,0.0,3.685333333333334,1.8426666666666667,1.856,1.888,2.016,1
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_marlin_gemm_2,2x1x1,512x1x1,0.25,0.8973333333333334,0.0,3.5893333333333337,3.5893333333333333,3.616,3.648,3.648,0
Elementwise and metadata,triton_per_fused_mm_t_3,5x1x1,32x1x1,0.5,0.8852916666666667,0.0,3.541166666666667,1.7705833333333334,1.759,1.888,1.984,0
Elementwise and metadata,triton_red_fused_5,8x1x1,256x1x1,0.5,0.8813333333333333,0.0,1.936,1.7626666666666666,1.888,1.952,2.016,1
Elementwise and metadata,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_embedding_ge_lt_masked_fill_mul_sub_unsqueeze_0,768x1x1,256x1x1,0.5,0.8733333333333333,0.0,1.8186666666666664,1.7466666666666666,1.792,1.888,1.92,73
Elementwise and metadata,triton_red_fused_rms_norm_1,2x1x1,256x1x1,0.25,0.8532916666666667,0.0,3.4131666666666667,3.4131666666666667,3.455,3.52,3.52,0
Elementwise and metadata,triton_per_fused_mm_t_3,320x1x1,256x1x1,0.5,0.7773333333333333,0.0,3.1093333333333333,1.5546666666666666,1.536,1.6,1.632,30
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT,4x16x1,384x1x1,0.25,0.7600000000000001,0.0,3.0400000000000005,3.04,3.072,3.072,3.072,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,512x1x1,64x1x1,0.5,0.7546666666666666,0.0,3.0186666666666664,1.5093333333333332,1.536,1.664,1.728,12
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,256x1x1,128x1x1,0.5,0.7532916666666667,0.0,3.0131666666666668,1.5065833333333334,1.6,1.632,1.664,12
Elementwise and metadata,triton_poi_fused_4,2x1x1,256x1x1,0.5,0.7519583333333333,0.0,1.5251666666666666,1.5039166666666666,1.472,1.536,1.824,0
Elementwise and metadata,triton_per_fused_mm_t_3,320x1x1,128x1x1,0.5,0.74,0.0,1.5626666666666666,1.48,1.504,1.568,1.632,15
Elementwise and metadata,triton_per_fused_mm_t_3,640x1x1,512x1x1,0.25,0.7239999999999999,0.0,2.8959999999999995,2.896,2.912,2.912,2.912,100
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,1x1x1,64x1x1,0.5,0.718625,0.0,2.8745,1.43725,1.472,1.472,1.535,0
Elementwise and metadata,triton_per_fused_mm_t_3,320x1x1,64x1x1,0.5,0.7093333333333334,0.0,1.4346666666666668,1.4186666666666665,1.44,1.44,1.44,8
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,128x1x1,128x1x1,0.5,0.6853333333333333,0.0,2.7413333333333334,1.3706666666666667,1.408,1.44,1.44,6
Elementwise and metadata,triton_per_fused_mm_t_3,160x1x1,128x1x1,0.5,0.6799583333333334,0.0,1.4026666666666667,1.3599166666666667,1.344,1.44,1.472,8
Elementwise and metadata,triton_per_fused_mm_t_3,80x1x1,128x1x1,0.5,0.654625,0.0,1.344,1.30925,1.312,1.344,1.408,4
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_3,4x1x1,32x1x1,0.5,0.6159999999999999,0.0,1.2533333333333332,1.232,1.216,1.28,1.376,0
Elementwise and metadata,triton_per_fused_mm_t_3,320x1x1,512x1x1,0.25,0.47733333333333333,0.0,1.9093333333333333,1.9093333333333333,1.92,1.984,1.984,61
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,512x1x1,256x1x1,0.25,0.4706666666666666,0.0,1.8826666666666665,1.8826666666666667,1.856,2.016,2.016,48
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,64x1x1,32x1x1,0.25,0.4252916666666666,0.0,1.7011666666666665,1.7011666666666665,1.696,1.76,1.76,1
Elementwise and metadata,triton_per_fused_mm_t_2,10x1x1,256x1x1,0.25,0.418625,0.0,1.6745,1.6744999999999999,1.664,1.696,1.696,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,128x1x1,256x1x1,0.25,0.370625,0.0,1.4825,1.4825,1.471,1.632,1.632,12
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,64x1x1,256x1x1,0.25,0.36000000000000004,0.0,1.4400000000000002,1.44,1.44,1.536,1.536,6
Elementwise and metadata,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_embedding_ge_lt_masked_fill_mul_sub_unsqueeze_0,96x1x1,512x1x1,0.25,0.35733333333333334,0.0,1.4293333333333333,1.4293333333333333,1.472,1.472,1.472,18
Elementwise and metadata,triton_poi_fused_4,4x1x1,128x1x1,0.25,0.35333333333333333,0.0,1.4133333333333333,1.4133333333333333,1.408,1.472,1.472,0
Elementwise and metadata,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_embedding_ge_lt_masked_fill_mul_sub_unsqueeze_0,48x1x1,128x1x1,0.25,0.35200000000000004,0.0,1.4080000000000001,1.408,1.376,1.632,1.632,2
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_3,4x1x1,128x1x1,0.25,0.3413333333333333,0.0,1.3653333333333333,1.3653333333333333,1.312,1.504,1.504,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,512x1x1,32x1x1,0.25,0.33866666666666667,0.0,1.3546666666666667,1.3546666666666667,1.376,1.376,1.376,6
Elementwise and metadata,triton_per_fused_mm_t_3,160x1x1,256x1x1,0.25,0.3293333333333333,0.0,1.3173333333333332,1.3173333333333335,1.312,1.344,1.344,15
Elementwise and metadata,triton_per_fused_mm_t_3,80x1x1,64x1x1,0.25,0.328,0.0,1.312,1.312,1.344,1.376,1.376,2
Elementwise and metadata,triton_per_fused_mm_t_3,40x1x1,512x1x1,0.25,0.328,0.0,1.312,1.312,1.312,1.312,1.312,8
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_3,1x1x1,64x1x1,0.25,0.32666666666666666,0.0,1.3066666666666666,1.3066666666666666,1.312,1.344,1.344,0
Elementwise and metadata,triton_per_fused_mm_t_3,20x1x1,128x1x1,0.25,0.32,0.0,1.28,1.28,1.28,1.28,1.28,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,128x1x1,32x1x1,0.25,0.32,0.0,1.28,1.28,1.28,1.312,1.312,2
Elementwise and metadata,triton_per_fused_mm_t_3,40x1x1,64x1x1,0.25,0.3173333333333333,0.0,1.2693333333333332,1.2693333333333334,1.28,1.312,1.312,1
Elementwise and metadata,triton_per_fused_mm_t_3,40x1x1,128x1x1,0.25,0.3172916666666667,0.0,1.2691666666666668,1.2691666666666666,1.279,1.312,1.312,2
Elementwise and metadata,triton_per_fused_mm_t_3,40x1x1,32x1x1,0.25,0.31466666666666665,0.0,1.2586666666666666,1.2586666666666666,1.248,1.344,1.344,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,128x1x1,64x1x1,0.25,0.31066666666666665,0.0,1.2426666666666666,1.2426666666666666,1.248,1.28,1.28,3
Elementwise and metadata,triton_per_fused_mm_t_3,80x1x1,256x1x1,0.25,0.31066666666666665,0.0,1.2426666666666666,1.2426666666666666,1.248,1.248,1.248,8
Elementwise and metadata,triton_poi_fused_add_mul_1,96x1x1,128x1x1,0.25,0.28400000000000003,0.0,1.1360000000000001,1.1360000000000001,1.12,1.28,1.28,5
